name,sector,address,city,country,email,phone,owner,safety_grievances,pay_grievances,conditions_grievances,treatment_grievances,workload_grievances
FinServe Banking,Finance,1010 Money St,Banktown,Finland,support@finservebanking.com,1889900112,Cash Flow,0,1,0,0,0
Flavor Factory,Food & Beverage,63 Gourmet Street,Foodtown,Culinaryland,hello@flavorfactory.com,6677889907,Chef Flavor,0,0,0,0,0
TechInnovators,Technology,123 Tech Avenue,Innovate City,Techland,info@techinnovators.tech,1234567890,Jamie Tech,0,0,0,0,0
Gourmet Haven,Food & Beverage,123 Culinary Street,Culinary City,Foodland,info@gourmethaven.com,6677889901,Chef Baker,0,0,0,0,0
EcoFarm Produce,Agriculture,654 Greenway,Farmville,AgriLand,info@ecofarm.com,4400456789,Agri Ventures,0,0,0,0,0
BreezeFlow Systemz,Utilities,93 Windy Way,Breezyville,Airland,contact@breezeflow.systems,4455667791,Storm Gale,0,0,0,0,0
HealthFirst,Healthcare,500 Health Blvd,HealthCity,CareLand,support@healthfirst.com,4567890123,Jordan Care,0,0,0,0,0
Fitness Fanatics,Health & Fitness,303 Workout Way,Fit City,Healthland,info@fitnessfanatics.com,2112233445,Jordan Fit,0,0,0,0,0
AgriGrowth Ltd,Agriculture,78 Farm Lane,Agro Town,Fertiland,contact@agrigrowth.com,4567890123,Patricia Field,0,0,0,0,0
Eco Builders,Construction,67 Green St,Eco City,Buildland,contact@ecobuilders.build,1889900112,Morgan Green,0,0,0,0,0
GreenThumb Landscaping,Services,789 Garden Path,GardenVille,ServiceLand,info@greenthumb.com,2234567890,Sam Green,0,0,0,0,0
EcoTransport,Transportation,707 Greenway,EcoCity,Greentopia,contact@ecotransport.com,8529637410,Robin Eco,2,3,2,2,3
AgriGrowth,Agriculture,78 Farm Rd,Harvest Town,Agroland,contact@agrigrowth.com,3344556677,Pat Farmer,0,0,0,0,0
Quantum Tech,Information Technology,130 Innovation Drive,Techville,Futuristan,contact@quantumtech.com,1234567897,Riley Quantum,0,0,0,0,0
TechPioneers Inc,Technology,2526 Innovate Rd,Techville,Innovatia,support@techpioneers.inc,1888000112,Jamie Innovator,0,0,0,0,0
BuildIt Construction,Construction,159 Builder Road,ConstructVille,BuildLand,info@buildit.com,4455667788,Taylor Build,0,0,0,0,0
AquaTech Industries,Water Management,456 Aqua Rd,Waterville,Aquaria,contact@aquatech.com,2233445593,River Aqua,1,2,1,1,2
Media Masters,Media,1100 Broadcast Blvd,Media City,Mediatopia,contact@mediamasters.media,8899001122,Media Mogul,0,0,0,0,0
EcoSolutions,Environmental,864 Greenway,Eco City,Earthland,contact@ecosolutions.com,1323344556,Drew Dew,0,0,0,0,0
Fitness Fanatics,Health & Fitness,909 Workout Way,Fit City,Healthland,info@fitnessfanatics.fit,1555000114,Jordan Fit,0,0,0,0,0
GreenTech Solutons,Technology,1010 Eco Lane,Eco City,Sustainland,contact@greentech.com,9876543216,Alex Green,0,0,0,0,0
MedCare Solutions,Healthcare,1010 Health Ave,Health City,Mediland,support@medcare.med,5500556678,Dr. Care,0,0,0,0,0
FinServe Financials,Finance,987 Money Ave,Finance City,Finland,info@finservefinancials.com,1888999000,Mr. Finance Expert,0,0,0,0,0
Urban Developers,Construction,654 Build Blvd,Construct City,Buildland,info@urbandevelopers.com,5566778899,Builder Bob,0,0,0,0,0
EcoLiving,Real Estate,1111 Green St,Eco City,Sustainland,info@ecoliving.com,3223344556,Sam Eco,0,0,0,0,0
TechSavvy,Technology,1400 Digital Dr,Tech City,Innovatia,contact@techsavvy.com,1213141516,Sam Tech,0,0,0,0,0
Construction Builders,Construction,654 Build St,Construct City,Buildland,contact@constructionbuilders.com,1100998877,Build Master,0,0,0,0,0
Creative Minds,Design,321 Art Ave,Creativity,Designland,hello@creativeminds.com,9876543217,Pat Designer,0,0,0,0,0
HealthFirst Medikal,Healthcare,789 Wellness Blvd,Healthtown,CareLand,contact@healthfirst.com,2345678901,Pat Heal,0,0,0,0,0
Green Energy Solutions,Energy,789 Solar Blvd,EcoCity,Sustainland,contact@greenenergy.com,9876543210,Ella Green,0,1,0,1,1
Green Energy Solutions,Energy,456 Solar St,EcoCity,GreenLand,contact@greenenergysolutions.com,9876543210,Alice Johnson,0,0,0,0,0
Tech Innovators,Technology,1000 Innovation Dr,Tech City,Innovatia,info@techinnovators.com,1234567890,Sam Tech,0,0,0,0,0
Eco Warriors,Environment,1010 Green St,Eco City,Earthland,contact@ecowarriors.com,4444444444,Nature Lover,0,0,0,0,0
Eco Builders,Construction,369 Green St,EcoCity,SustainLand,info@ecobuilders.com,1213141516,Mia Eco,0,0,0,0,0
BuildTech Solutions,Technology,555 Innovation Dr,Tech City,TechLand,info@buildtech.com,8899001122,Sam Innovate,0,0,0,0,0
Trendsetters Company,Fashion,204 Style Street,Trend City,Fashionland,contact@trendsetters.fashion,5678905678,Fashionista Mode,0,0,0,0,0
Travel Adventures,Travel,753 Explorer Road,Adventure City,Wanderland,hello@traveladventures.com,8901234567,Wanderlust Group,0,0,0,0,0
Solar Innovations,Energy,112 Solar Park,Sun City,EnergyLand,contact@solarinnovations.energy,9900112233,Sun Innovator,0,0,0,0,0
TechLand Holdings Inc.,Technology,136 Innovation Blvd,TechVille,TechLand,contact@techlandholdings.com,1234567803,Taylor Tech,0,0,0,0,0
AgriTech Innovations,Agriculture,1313 Farm Lane,Harvest Town,Agroland,contact@agritech.com,8877665544,Farmer Fiona,0,0,0,0,0
Foodies Delight,Food & Beverage,951 Taste Ave,FoodCity,FlavorLand,support@foodiesdelight.com,8899001122,Chef Cook,0,0,0,0,0
BioHealth Innovations,Biotechnology,951 Bio Blvd,Bio City,Bioland,info@biohealthinnovations.com,1889900112,Sam Bio,0,0,0,0,0
GreenConstruct,Construction,789 Eco St,Green City,EcoLand,info@greenconstruct.com,9876543210,Pat Green,0,0,0,0,0
CarePlus Clinics,Healthcare,456 Care St,Health City,CareLand,support@careplus.com,9988776655,Patrick Care,0,0,0,0,0
TechnoBuild Inc,Technology,123 Tech Lane,Innovate City,Techland,contact@technobuild.com,1234567890,Jamie Tech,0,0,0,0,0
Quantum Ventures,Information Technology,129 Innovation Drive,Techville,Futuristan,hello@quantum.ventures,1234567896,Casey Quantum,0,0,0,0,0
HealthFirst,Healthcare,202 Wellness Way,Health City,Careland,info@healthfirst.com,3344556677,Helen Healer,0,0,0,0,0
Tech Pioneers,Technology,147 Innovation Dr,Techville,Innovatia,contact@techpioneers.tech,1122446688,Taylor Innovate,0,0,0,0,0
TravelQuest Adventures,Travel,707 Explore Blvd,Travelcity,Wanderland,info@travelquest.com,11223344,Morgan Wander,1,0,1,0,1
EduSmart Learning,Education,400 Knowledge St,Learnville,EduNation,info@edusmart.edu,2233445566,Prof. Wise,0,0,0,0,0
Culinary Cre8tions,Food & Beverage,159 Gourmet Road,Food City,Culinaryland,info@culinarycre8tions.com,1556677889,Morgan Chef,0,0,0,0,0
Auto Dynamics,Automotive,303 Drive Blvd,Motor City,Autoland,info@autodynamics.com,1000111222,Morgan Drive,0,0,0,0,0
Urban Builders,Construction,789 Build St,Construct City,Buildland,info@urbanbuilders.com,1122334455,Charlie Construct,0,0,0,0,0
Foodies Delight,Food & Beverage,1112 Gourmet Ave,Food City,Tasteland,contact@foodiesdelight.com,1122334456,Chef Cook,3,3,3,3,3
Finance Gurus,Finance,707 Money St,Finance City,FinanceLand,info@financegurus.com,123456789,Penny Wise,1,2,1,0,3
TechWave Solutions,Technology,1300 Innovation Dr,Tech City,Techland,contact@techwave.com,1901234567,Jamie Innovator,0,0,0,0,0
FashionHub,Fashion,987 Style St,Fashion City,Trendland,support@fashionhub.com,6677889900,Anna Trend,0,0,0,0,0
Logistics Leaders,Logistics,357 Transport Way,Logistics City,Moveland,hello@logisticsleaders.com,8899001122,Casey Move,0,0,0,0,0
Fashion Forward,Fashion,7000 Style St,Fashion City,Fashionland,info@fashionforward.fashion,9078901234,Designer Chic,0,0,0,0,0
Sustainable Solutions,Energy,123 Greenway,Eco City,Greenland,support@sustainablesolutions.com,9876543214,Ella Green,0,0,0,0,0
Urban Bldrs,Construction,3344 Build Blvd,Construct City,Buildland,contact@urbanbldrs.con,1444000555,Alex Construct,0,0,0,0,0
Transport Tech,Transportation,800 Transit Blvd,MoveCity,TravelLand,info@transporttech.com,6677889900,Fiona Move,0,0,0,0,0
Media Magic,Media,852 Broadcast Blvd,Mediapolis,Newland,contact@mediamagic.media,9123456789,Media Mogul,0,0,0,0,0
Constructive Solutions,Construction,654 Solution St,Solution City,Solutionland,hello@constructivesolutions.com,11223344,Sam Solution,0,0,0,0,0
Green Energy Corp.,Energy,456 Solar Ave,Eco Town,Greenland,info@greenenergycorp.com,1987654321,Sam Green,0,0,0,0,0
Green Energy Solutions,Energy,3000 Solar St,Greenville,EcoNation,contact@greenenergy.eco,1555000666,Morgan Green,0,0,0,0,0
AeroDynamics Corp,Aerospace,103 Skyway Blvd.,AeroCity,Skyland,support@aerodynamicscorp.com,9900334458,Sam B. Blue,0,0,0,0,0
EduFuture Academy,Education,400 Learning Blvd,EduTown,LearnLand,info@edufuture.com,1234567892,Ava Johnson,0,0,0,0,0
TravelEase Agency,Travel,222 Journey Ave,Travel City,Voyagia,contact@travelease.com,1555765432,Wander Lust,0,0,0,0,0
SnackWave Delights,Food & Beverage,2255 Crunch St,Flavor City,Gourmetland,support@snackwave.delights,1999000226,Jordan Spice,0,0,0,0,0
Fashion Forward,Retail,753 Style St,Fashion City,Italy,contact@fashionforward.it,390612345678,Stella Style,1,2,0,1,2
Auto Dynamics,Automotive,505 Drive Ave,Motor City,Autoland,support@autodynamics.com,5566778899,Drive Fast,0,0,0,0,0
Foodies Delight,Food & Beverage,808 Gourmet St,Food City,Cuisineland,contact@foodiesdelight.com,9876543217,Fiona Feast,0,0,0,0,0
FinSecure,Finance,505 Money Ave,Bank City,Finland,info@finsecure.com,6677889900,Eve Black,0,0,0,0,0
Eco Builders,Construction,2222 Green Lane,Eco City,Sustainia,build@ecobuilders.build,9988776655,Green Architect,0,0,0,0,0
EcoLife Products,Retail,1212 Eco St,GreenCity,EcoLand,info@ecolifeproducts.com,9876543217,Alex Green,0,0,0,0,0
Smart Innovations,Technology,4040 Smart Ave,Tech City,Techland,contact@smartinnovations.com,6655667788,Innovative Guru,0,0,0,0,0
Health First Clinics,Healthcare,789 Wellness Way,Health City,CareLand,contact@healthfirstclinics.com,3456789012,Carol Health,0,0,0,0,0
Finance Secure Ltd,Finance,77 Money St,Banktown,Finland,contact@financesecure.com,6677889900,Mr. Cash,0,0,0,0,0
StarryNight Entertainment,Entertainment,210 Galaxy Ave,Starlight,Cosmoland,info@starrynight.entertainment,4455667815,Star Light,0,0,0,0,0
Urban Builders,Construction,789 Build Lane,ConstructCity,Buildland,support@urbanbuilders.com,1122334455,Sam Builder,5,4,3,4,5
AutoDrive Motors,Automotive,606 Drive Ave,Motorville,Autoland,contact@autodrive.motors,6789012345,Drive Fast,0,0,0,0,0
Media Magic,Media,900 Broadcast Ln,Media City,Mediaville,info@mediamagic.com,1444555666,Media Mogul,1,0,1,0,1
Green Energy Co,Energy,200 Solar St,Eco City,Sustainia,contact@greenenergy.com,9034567890,Greta Green,0,0,0,0,0
MediaWave,Media,606 Broadcast Blvd,Mediapolis,Infotainland,contact@mediawave.med,1778899001,Broadcast Group,0,0,0,0,0
Techno Innovations,Technology,123 Tech Avenue,Techville,Techland,info@technoinnovations.com,1234567890,Innovate Corp,0,0,0,0,0
Adventure Supplies,Retail,560 Adventure St,Outdoor City,ExploreLand,info@adventuresupplies.com,6655443327,Explorer Ella,0,0,0,0,0
AgriSolutions,Agriculture,226 Farm Lane,Agri Town,Farmland,contact@agrisolutions.com,1667788994,Soil Expert,0,0,0,0,0
FashionForward,Fashion,123 Style St,Fashion City,FashionLand,contact@fashionforward.com,21005551234,Style Group,0,0,0,0,0
EcoEnergy,Energy,951 Solar St,Eco City,Greenland,info@ecoenergy.energy,1122446688,Pat Green,0,0,0,0,0
TechGuard,Technology,147 Innovation St,Tech City,Innovateland,contact@techguard.com,9988223344,Jordan Magenta,0,0,0,0,0
Future Tech,Technology,3030 Innovate Blvd,Tech City,Innovatia,hello@futuretech.com,2111222333,Morgan Smith,0,0,0,0,0
FinServe Banking,Finance,606 Money St,Bank City,Wealthland,contact@finserve.com,7788990010,Lisa Wealth,0,1,0,0,0
Tech Pioneers,Technology,1600 Innovate Ave,Tech City,Digitalia,info@techpioneers.com,2444555666,Jordan Innovate,0,0,0,0,0
Agri Pioneers,Agriculture,373 Farm Road,Agri City,Farmville,contact@agripioneers.agri,1112131419,Farmer Captain,0,0,0,0,0
Drive Auto,Automotive,601 Motorway,Car City,Autoland,info@driveauto.com,3344556678,Henry Car,0,0,0,0,0
ConstructPro Builders,Construction,1500 Build Ave,Construct City,Buildland,info@constructpro.com,1098765432,Jordan Construct,0,0,0,0,0
MediaWorks,Media,6060 Broadcast Blvd,MediaCity,Newsland,info@mediaworks.com,1666777888,Media Mogul,0,0,0,0,0
SecureTech Systems,Technology,1212 Cyber St,Tech City,Singapore,info@securetech.com,1314151617,Liam Secure,0,0,0,0,0
Oceanic Shipping Co.,Logistics,404 Sea Route,Port City,Maritima,support@oceanicshipping.com,4455667788,Chris Sailor,2,3,2,1,2
AgriGrowth Ltd,Agriculture,202 Farm Lane,Harvest Town,AgriLand,contact@agrigrowth.com,1122334455,Morgan Brown,0,0,0,0,0
BuildSmart,Construction,704 Build St,ConstructCity,Buildland,info@buildsmart.com,5566778899,Evan Engineer,0,0,0,0,0
Digital Enterprises,Technology,951 Tech Park,Innovation City,Techland,info@digitalenterprises.com,1122446688,Morgan Enterprise,0,0,0,0,0
SkyHigh Aviation,Aerospace,987 Sky St,Flight City,Aeroland,contact@skyhigh.aviation,4455667788,Jet Stream,0,0,0,0,0
Eco Builders,Construction,987 Green St,Eco City,Buildland,info@ecobuilders.com,1910011223,Pat Constructor,0,0,0,0,0
Finance Gurus,Finance,66 Wealth St,Moneyville,Bankland,info@financegurus.com,2211009988,Money Maker,0,0,0,0,0
Innovative Designs,Design,1212 Creative Court,Design City,Creativia,contact@innovativedesigns.com,1617181920,Creative Mind,0,0,0,0,0
TechSavvy Solutions,Technology,1212 Tech Blvd,Innovate City,Techland,info@techsavvy.solutions,1314151617,Techie Smart,0,0,0,0,0
Learning Tech Corp,Education,654 Knowledge Rd,Learn City,EduLand,info@learningtechcorp.com,1334455669,Dr. Edu Sharp,0,0,0,0,0
Smart Tech Solutions,Technology,10500 Tech Rd,Digital City,Techland,info@smarttechsolutions.tech,1555000554,Jordan Wise,0,0,0,0,0
AgriGrowth Ltd,Agriculture,202 Farm Lane,Greenville,AgroLand,info@agrigrowth.com,1901456789,Pat Farmer,0,0,0,0,0
Adventure Travels,Travel & Leisure,606 Explore Rd,Adventure City,Wanderland,info@adventuretravels.com,4455667788,Wander Lust,0,0,0,0,0
AgriFuture,Agriculture,909 Future Rd,Future Town,USA,contact@agrifuture.com,7788990011,Future Farmer,0,0,0,0,0
ConstructPro Builders,Construction,1600 Build Avenue,BuildCity,BuildLand,contact@constructpro.com,9900777788,Benjamin Build,0,0,0,0,0
TechNova,Technology,78 Innovation Drive,Tech City,Siliconia,contact@technova.com,4455667804,Nova Star,0,0,0,0,0
EcoHome Solutions,Real Estate,808 Green St,Eco City,Greenland,info@ecohomes.com,8899001122,Eco Builder,0,0,0,0,0
InnovateEd Institutes,Education,319 Learning Lane,Eduville,Learnland,hello@innovateed.institutes,4455667796,Taylor Teach,0,0,0,0,0
Future Tech,Technology,789 Future St,Techville,Innovatia,contact@futuretech.com,1234567892,Jordan Smith,0,0,0,0,0
FinTech Pioneers,Finance,258 Money St,Finance City,USA,contact@fintechpioneers.com,1011121314,Banker Cash,0,0,0,0,0
FashionForward,Fashion,77 Style Street,Trend City,Fashionland,support@fashionforward.fashion,8901234567,Hannah Style,0,0,0,0,0
Energy Savers,Energy,456 Power Ave,Energy City,Powerland,hello@energysavers.com,4433221100,Power Chief,0,0,0,0,0
EduTech Pioneers,Education,654 Learning Lane,Knowledge City,Learnland,contact@edutechpioneers.com,5566778899,Learn Group,0,0,0,0,0
Foodies Delight,Food & Beverage,123 Gourmet St,Foodville,TasteLand,info@foodiesdelight.com,1101122334,Jamie Chef,0,0,0,0,0
Eco Builders,Construction,909 Green St,Eco City,Greenland,info@ecobuilders.con,2234567890,Laura Green,0,0,0,0,0
Eco Solutions,Environmental,1313 Green St,Eco City,Greenland,info@ecosolutions.com,2020202020,Eco Friendly,0,0,0,0,0
Digital Dynmics,Technology,10000 Tech Road,Digital City,Techland,contact@digitaldynmics.tech,1555000444,Jordan Wise,0,0,0,0,0
Sustainable Energy Corp,Energy,458 Renewable Rd,Eco Town,Sustainia,contact@sustainableenergy.sol,2345678903,Eco Friendly,0,0,0,0,0
UrbanTech Labs,Technology,95 Tech Park,Techville,Innovatia,labs@urbantech.tech,9988776682,Tech Urban,0,0,0,0,0
Tech Pioneers,Technology,505 Innovation Drive,Tech City,Innovatia,support@techpioneers.tech,9990001112,Tech Visionary,0,0,0,0,0
BuildSmart,Construction,987 Build Blvd,Construct City,Buildland,info@buildsmart.construct,4455667788,Alex Builder,0,0,0,0,0
AutoDrive,Automotive,800 Motorway,CarCity,AutoLand,info@autodrive.com,7890123456,Jordan Driver,0,0,0,0,0
Urban Developers,Real Estate,606 Build Blvd,Construct City,Buildland,info@urbandevelopers.com,1445566778,Jamie Build,0,0,0,0,0
AutoMotive Co,Automotive,707 Drive Blvd,AutoCity,CarLand,contact@automotiveco.com,123456789,Drive Group,0,0,0,0,0
Eco Builders,Construction,852 Build Blvd,Construct City,Buildland,info@ecobuilders.com,2233445566,Pat Build,0,0,0,0,0
EcoEnergy Inc,Energy,902 Solar Street,Energy City,Powerland,info@ecoenergy.com,1777888999,Power Corp,0,0,0,0,0
Sprout Solutons,Agriculture,1050 Plant Path,Garden City,Agraria,support@sproutsolutions.agri,1415161722,Flora Bloom,0,0,0,0,0
Journey Seekers,Travel,707 Journey St,Explore City,Travelia,contact@journeyseekers.com,1555666779,Wendy Smith,0,0,0,0,0
Foodies Delight,Food & Beverage,789 Gourmet Rd,Taste Town,Foodland,hello@foodiesdelight.com,1122334455,Fiona Foodie,0,0,0,0,0
AutoDrive Inc,Automotive,101 Motorway,Autoville,Carland,info@autodriveinc.com,9988776655,Pat Drive,0,0,0,0,0
Urban Builders,Construction,600 Build St,Construct City,Buildland,info@urbanbuilders.com,6677889900,Builder Bob,0,0,0,0,0
Artistic Expressions,Arts & Entertainment,357 Creative Blvd,Art City,Creativeland,hello@artisticexpressions.com,2233445567,Jamie Art,0,0,0,0,0
Prime Tech,Technology,103 Silicon Alley,Techville,Innovatia,support@primetech.com,1234567892,Innovator Prime,0,0,0,0,0
FinSecure Banking,Finance,202 Money Lane,Banktown,Finland,support@finsecure.bank,6677889900,Cash Rich,0,0,0,0,0
Knowledge Builders,Education,206 Learning Lane,Edu City,Learnland,contact@knowledgebuilders.edu,6667778891,Edu Leader,0,0,0,0,0
RiverTech Solutions,Utilities,789 Stream St,HydroCity,Aquaterra,support@rivertech.com,3344556680,Jordan River,4,5,3,1,4
Tech Pioneers,Technology,1300 Innovate Blvd,Tech City,Techland,info@techpioneers.com,1888999000,Innovator,1,0,1,0,1
EduLearn Institute,Education,500 Knowledge Rd,Learn City,EduLand,info@edulearninstitute.com,3344556677,Jordan Learn,0,0,0,0,0
AquaPure Water,Utilities,753 Aqua Ave,Water City,Hydroland,contact@aquapure.com,3300667788,Noah Aqua,1,1,1,1,1
Fresh Foods Ltd,Food & Beverage,404 Market St,Foodville,Gourmetland,info@freshfoodsltd.com,1555666777,Olivia Cook,0,0,0,0,0
Finance Gurus,Finance,111 Money Blvd,Finance City,Moneyland,info@financegurus.money,9089012345,Money Maker,0,0,0,0,0
TravelTime,Travel,10000 Journey Rd,Travel City,Wanderland,info@traveltime.com,7788990011,Wander Lust,0,0,0,0,0
EcoTech Innovations,Energy,456 Green Road,Eco City,Greenland,innovate@ecotech.com,9876543214,Ella Green,0,0,0,0,0
UrbanBuild Partners,Construction,328 Builder Street,Constructopolis,Buildland,partners@urbanbuild.con,5566778892,Taylor Alex,0,0,0,0,0
EduLearn Institute,Education,56 Knowledge Ln,LearnVille,EduLand,contact@edulearninstitute.com,6677889900,Edu Group,0,0,0,0,0
Silicon Innovators,Technology,127 Silicon Ave,Tech City,Innovatia,hello@siliconinnovators.com,1234567894,Tech Genius,0,0,0,0,0
Fashion Forward,Fashion,900 Style St,Fashion City,Trendland,info@fashionforward.com,9012345678,George Harris,0,0,0,0,0
Health First,Healthcare,300 Wellness Blvd,Health City,Careland,info@healthfirst.com,1666777888,Dr. Care,0,1,0,1,0
Foodies Delight,Food & Beverage,159 Culinary Ave,Gourmet Town,Foodland,support@foodiesdelight.com,8088899900,Gourmet Group,0,0,0,0,0
HealthFirst Clinic,Healthcare,456 Wellness Way,Healthtown,Mediland,contact@healthfirst.med,6677889900,Dr. Care,0,0,0,0,0
Green Energy Solutions,Energy,456 Solar Rd,EcoCity,GreenLand,info@greenenergysolutions.com,2345678901,Bob Green,0,0,0,0,0
EduFuture Academy,Education,321 Learning Ln,Knowledgetown,Learnland,info@edufutureacademy.edu,5566778899,Taylor Learn,0,0,0,0,0
Foodies Delight,Food & Beverage,369 Gourmet Ave,Culinary City,Gastronomia,support@foodiesdelight.com,1777888999,Taylor Blue,0,0,0,0,0
TechNova Inc.,Technology,125 Innovation Drive,Techville,Innovatia,contact@technova.com,1234567892,Jordan Tech,0,0,0,0,0
ConstructPro,Construction,162 Build St.,Buildville,Constructia,info@constructpro.com,9876543219,Mona Builder,0,0,0,0,0
Tech Innovators,Technology,123 Silicon Avenue,Techville,Innovatia,contact@techinnovators.io,1234567890,Alice Tech,0,0,0,0,0
BuildIt,Construction,789 Builder Blvd,Construct City,BuildLand,info@buildit.com,7890123456,James Mason,0,0,0,0,0
BlueSky Airlines,Aviation,789 Skyway Blvd,AeroCity,FlyLand,contact@blueskyair.com,2345678901,Avery Flight,0,0,0,0,0
SavvyTech Innovations,Technology,902 Savvy Ln.,TechVille,TechLand,contact@savvytechinnovations.com,9900223351,Jordan Savvy,0,0,0,0,0
InnovaTech Solutions,Technology,107 Innovation Dr,Techville,Innovatia,support@innovatech.tech,1234567895,Morgan Tech,0,0,0,0,0
Health First,Healthcare,300 Wellness Blvd,Health City,CareLand,support@healthfirst.com,3344556677,Pat Care,0,0,0,0,0
Healthy Life Services,Healthcare,131 Care St,Health City,Careland,services@healthylife.med,3334445561,Dr. Wellbeing,0,0,0,0,0
Tech Innovators Inc,Technology,101 Tech Park,Innovate City,Techland,contact@techinnovators.com,1234567890,John Doe,0,0,0,0,0
