name,sector,address,city,country,email,phone,owner,safety_grievances,pay_grievances,conditions_grievances,treatment_grievances,workload_grievances
Harvesters Co-op,Agriculture,720 Farm Lane,Harvest,Agroland,coop@harvesters.co,1112131427,Farmer Yellow,0,0,0,0,0
EduLearn Academy,Education,1010 Knowledge Ave,Learnville,EduLand,info@edulearn.acad,9988776655,Teach Wise,0,0,0,0,0
Finance Gurus,Finance,11000 Money St,Finance City,Finland,info@financegurus.finance,9112345678,Banker Rich,0,0,0,0,0
Harvest Time Inc,Agriculture,81 Harvest Road,Farmville,Agroland,hello@harvesttime.inc,3344556680,Farmer Crops,0,0,0,0,0
TechWave Solutions,Technology,101 Innovation Drive,Tech City,Techland,support@techwave.com,1112223334,Jordan Innovate,4,3,5,3,4
AutoDrive,Automotive,852 Motorway,Auto City,Carland,contact@autodrive.auto,1555000000,Carla Driver,0,0,0,0,0
Fashion Forward Inc.,Retail,987 Style St,Fashion City,Trendland,hello@fashionforward.com,1445566778,Chic Trend,0,0,0,0,0
Green Energy Corp,Energy,300 Solar St,Sunville,Energia,contact@greenenergy.com,1555000666,Sam G.,0,0,0,0,0
Quantum Networks,Information Technology,137 Innovation Drive,Techville,Futuristan,networks@quantum.com,1234567899,Jordan Quantum,0,0,0,0,0
BuildIt Construction,Construction,303 Build Ave,Construct City,Buildland,info@buildit.construct,1999000111,Bob Builder,0,0,0,0,0
SafeHome Security,Security,987 Secure Lane,SafeTown,SecureLand,support@safehome.com,7890123456,Alex Guard,0,0,0,0,0
Coastal Ventures,Marine,210 Ocean Drive,Seaside,Marineland,info@coastalventures.com,1333444559,Marina Shore,0,0,0,0,0
TravelTime,Travel,1010 Journey Rd,TravelCity,Wanderland,contact@traveltime.com,1889900112,Globetrotter,0,0,0,0,0
DrivePro Services,Automotive,811 Drive Lane,Autotown,Japan,services@drivepro.jp,6677889908,Drive Expert,0,0,0,0,0
FastTrack Autos,Automotive,507 Driveway,Autoville,Carland,info@fasttrack.auto,9900112244,Driver Fast,0,0,0,0,0
Tech Solutions,Technology,404 Code Street,Techville,Innovatia,support@techsolutions.com,2223344556,Alex Code,0,0,0,0,0
Fashion Forward,Retail,789 Style Ave,FashionTown,TrendLand,contact@fashionforward.com,3456789012,Cathy Chic,0,0,0,0,0
Health First,Healthcare,4000 Wellness Way,Health City,Careland,contact@healthfirst.com,6600445566,Care Group,0,0,0,0,0
TravelAdventures,Travel,6060 Journey Rd,Travelville,Wanderland,info@traveladventures.com,1778899001,Wander Lust,0,0,0,0,0
EduLearn,Education,1010 Knowledge Rd,Learnville,EduNation,info@edulearn.edu,1223344556,Prof. Teach,0,0,0,0,0
StyleHub Retail,Retail,123 Fashion Ave,Fashion City,StyleLand,contact@stylehub.com,4567890124,Ava Taylor,0,0,0,0,0
Eco Fashion House,Fashion,123 Style St,Fashion City,Trendland,info@ecofashion.com,1011121314,Style Eco,0,0,0,0,0
Leafland Woodworks,Manufacturing,176 Timber Trail,Woodland,Leafland,contact@leaflandwoodworks.com,4455667814,Pine Cone,0,0,0,0,0
AutoDrive Mechanics,Automotive,56 Motorway,Autocity,Carland,service@autodrive.com,6677889900,Mechanic Mike,0,0,0,0,0
Fashion Forward,Fashion,707 Style St,Fashionville,Stylia,info@fashionforward.fashion,1555000121,Trend Setter,0,0,0,0,0
Green Builders,Construction,761 Build Blvd,Construct City,Buildland,green@greenbuilders.com,1667788999,Alex Builder,0,0,0,0,0
EcoTravel Agency,Travel,1000 Travel Rd.,TravelCity,TravelLand,info@ecotravelagency.com,9900111122,Pat Journey,0,0,0,0,0
TechCorp Solutions,Technology,200 Tech Park,Innovate City,Techland,contact@techcorpsolutions.com,1234567890,Sam Innovate,0,0,0,0,0
TechWave Innovatons,Technology,186 Digital Dr.,Techville,Innovatia,contact@techwave.innov,1314151617,Wave Tech,0,0,0,0,0
Drive Dynamics,Automotive,1104 Drive St,Motor City,Autoland,hello@drivedynamics.com,8899001166,Morgan Drive,0,0,0,0,0
Innovatech,Technology,12000 Innovate Rd,Innovate City,Techland,info@innovatech.tech,1555000666,Jordan Wise,0,0,0,0,0
TravelCo,Travel,90 Adventure Blvd,Travel Town,USA,info@travelco.com,1123456789,Tina Traveler,0,0,0,0,0
FinanceSecure,Finance,1212 Wealth St,Finance City,Moneyland,info@financesecure.com,1434455667,Taylor Teal,0,0,0,0,0
Tech Innovators,Technology,123 Silicon Avenue,Techville,Innovatia,contact@techinnovators.com,2223334444,Alice Tech,0,0,0,0,0
GreenTech Systems,Technology,816 Green St,TechCity,TechLand,systems@greentech.com,6677889908,Taylor Innovator,0,0,0,0,0
Tech Innovators,Technology,123 Tech Park,Innovate City,Techland,info@techinnovators.com,1234567890,Tech Guru,1,2,1,1,1
LogiMove,Logistics,13000 Transport Blvd,LogiCity,Moveland,info@logimove.com,9988771123,Alex L. Mover,0,0,0,0,0
BuildTech Innovations,Construction,607 Build Street,Construct City,USA,innovate@buildtech.construct,4455667788,Builder Strong,0,0,0,0,0
AutoDrive,Automotive,1010 Motorway,Drive City,Autoland,info@autodrive.com,1112131415,Jack Speed,0,0,0,0,0
Techno Innovations,Technology,200 Tech Park,Innovate City,Techland,support@technoinnovations.com,1122334455,Innovate Group,0,0,0,0,0
Tech Pioneers,Technology,246 Innovate St,Tech City,Innovateland,info@techpioneers.com,1323344556,Alex Innovate,0,0,0,0,0
EduTech Pioneers,Education,101 Edu Rd,Learn City,Eduworld,info@edutechpioneers.com,1888000444,Taylor Learn,0,0,0,0,0
Bright Horizon Academy,Education,406 Knowledge Blvd,Learnville,EduNation,contact@brighthorizons.edu,8899001144,Clever Hawk,0,0,0,0,0
Urban Developers,Construction,56 Build St,Construct City,Buildland,info@urbandevelopers.com,4455667788,Alex Builder,0,0,0,0,0
Green Energy Corp,Energy,12 Greenway,Eco City,USA,contact@greenenergy.com,1987654321,Alice Green,0,0,0,0,0
Health First,Healthcare,200 Wellness Blvd,Health City,Careland,info@healthfirst.com,9876543210,Health Advocate,0,0,0,0,0
BuildSmart Engineering,Construction,209 Build Lane,Constructopolis,Buildland,engineering@buildsmart.com,6667778895,Builder George,0,0,0,0,0
Urban Builders Ltd,Construction,456 Builder Blvd,Construct City,Buildland,contact@urbanbuilders.com,1122446688,Chris Mason,0,0,0,0,0
FutureBuild,Construction,6000 Future Rd,FutureCity,FutureLand,info@futurebuild.com,5678901234,Eve Yellow,0,0,0,0,0
Eco Food Corp,Food,789 Organic Ln,Food City,Gourmetland,info@ecofood.com,1314151617,Chef Green,0,0,0,0,0
HealthFirst Clinics,Healthcare,505 Health Blvd,Wellness City,Healthland,contact@healthfirstclinics.com,3344556677,Dr. Julia,0,0,0,0,0
EduFuture,Education,300 Learning Ln,Knowledge Town,EduNation,info@edufuture.com,1123581321,Chris Learn,0,0,0,0,0
HomeTech,Real Estate,61 Living St,HomeCity,Houseland,info@hometech.com,1213141522,Tech Builder,0,0,0,0,0
Vogue Ventures,Retail,408 Style Blvd,Fashion City,Italy,hello@vogueventures.com,5566778899,Sophia Fashionista,0,0,0,0,0
Urban Eats,Food & Beverage,1414 Urban St,Flavor City,TasteLand,contact@urbaneats.com,1516171819,Chef Urban,0,0,0,0,0
Foodies Delight,Food & Beverage,303 Gourmet Rd,Foodtown,Cuisineland,info@foodiesdelight.food,7778889990,Chef Supreme,0,0,0,0,0
TechWave,Technology,200 Tech Park,Innovate City,Techland,info@techwave.com,1234567890,Chris Blue,0,0,0,0,0
BuildSmart Solutions,Construction,123 Smart St,Smart City,Smartland,info@buildsmart.com,5566778899,Taylor Smart,0,0,0,0,0
TravelWonders Agency,Travel,1010 Adventure Blvd,Travel City,Spain,support@travelwonders.agency,8899001122,Wander Lust,0,0,0,0,0
Auto Innovators,Automotive,159 Drive Blvd,Motor City,Autoland,info@autoinnovators.com,1556677889,Henry Motor,0,0,0,0,0
HealthPlus Pharma,Pharmaceuticals,600 Health Blvd,Med City,HealthLand,contact@healthplus.com,5566778899,Dana Health,0,0,0,0,0
TechSavvy Solutions,Technology,129 Innovation Drive,Techville,Innovatia,support@techsavvy.com,1234567896,Jordan Tech,0,0,0,0,0
LearnSmart Academy,Education,401 Learning Lane,Knowledge Town,Learnland,info@learnsmartacademy.com,1098765433,Dr. Wise,0,0,0,0,0
AutoDrive Motors,Automotive,987 Speed Blvd,AutoCity,DriveLand,contact@autodrive.com,6677889900,Alex Speed,0,0,0,0,0
EcoBuild Construction,Construction,123 Green Blvd,Eco City,USA,contact@ecobuild.com,1314151622,Eco Builder,0,0,0,0,0
Tech Pioneers,Technology,999 Innovation Blvd,Tech Hub,FutureLand,support@techpioneers.com,3344552233,Innovator Ian,0,0,0,0,0
Quantum Creations,Information Technology,131 Innovation Drive,Techville,Futuristan,info@quantumcreations.com,1234567898,Jordan Quantum,0,0,0,0,0
Eco Builders,Construction,444 Build St,Construct City,Buildland,hello@ecobuilders.com,1122446688,Morgan Build,0,0,0,0,0
EduLearn Institute,Education,789 Knowledge Rd,Learn City,Educatia,info@edulearn.com,1555678901,Dr. Edu Wise,0,0,0,0,0
TravelEasy Agency,Travel,505 Journey Ln,Wanderlust,Traveland,bookings@traveleasy.travel,9900990011,Globe Trotter,0,0,0,0,0
Fashion Forward,Retail,654 Style St,FashionCity,StyleLand,contact@fashionforward.com,334455667,David Style,0,0,0,0,0
FashionForward,Fashion,8000 Style St,Fashion City,Trendland,info@fashionforward.com,7890123456,Stella Style,0,0,0,0,0
Travel Ventures,Travel,10003 Explore Rd,Adventure City,Traveland,info@travelventures.com,9900111126,Explore Holdings,0,0,0,0,0
Logistics Pro,Logistics,1010 Transport Ave,Logistics City,Netherlands,contact@logisticspro.com,7766554433,Jack Moore,0,0,0,0,0
Fashion Forward,Fashion,606 Style St,Trend City,Fashionia,info@fashionforward.com,1222333444,Style Icon,0,0,0,0,0
SkyReach Logistics,Logistics,413 Sky St.,SkyCity,SkyLand,logistics@skyreach.com,9900990020,Sky Navigator,0,0,0,0,0
Eco Friendly Energy,Energy,210 Solar St,Eco City,Sustainland,contact@ecofriendlyenergy.com,9876543219,Eco Pioneer,0,0,0,0,0
EcoBuild Enterprises,Construction,505 Eco Ave,Eco City,GreenLand,contact@ecobuild.com,9876543211,Jordan Eco,0,0,0,0,0
Media Magic,Media,1000 Broadcast Blvd,MediaCity,BroadcastLand,support@mediamagic.com,8899001122,Ivy Bronze,0,0,0,0,0
Health Innovators,Healthcare,1600 Health St,Health City,Medica,info@healthinnovators.com,8899001122,James Orange,0,0,0,0,0
FinTech Solutions,Finance,789 Money Ave,Finance City,Wealthland,support@fintechsolutions.com,3344556677,Money Maker,0,0,0,0,0
Health First,Healthcare,789 Wellness Blvd,Health City,Careland,support@healthfirst.com,1122334455,Sam Health,0,0,0,0,0
Green Energy Co.,Energy,78 Solar St,Eco City,Sustainia,info@greenenergy.com,9876543210,Pat Renewable,0,0,0,0,0
Eco Freight Services,Logistics,104 Transit Road,Eco City,GreenLand,info@ecofreightservices.com,2345678910,Jim Smith,0,0,0,0,0
BuildTech,Construction,789 Construct Ave,Buildtown,Constructland,support@buildtech.com,2233445569,Bobby Builder,0,0,0,0,0
Auto Innovators,Automotive,78 Drive Lane,Auto City,Carland,contact@autoinnovators.com,9876543218,Sam Driver,0,0,0,0,0
Agriculture Innovators Inc.,Agriculture,369 Farm Rd,Agri City,Farmville,contact@agricultureinnovators.agri,1112131415,Farmer Leader,0,0,0,0,0
Digital Dreams,Technology,1010 Future Blvd,Dream City,Techland,hello@digitaldreams.com,6655667788,Dream Weaver,0,0,0,0,0
Culinary Creations,Food & Beverage,303 Gourmet Rd,Flavor Town,Gastronomia,contact@culinarycreations.com,1444555666,Chef Taste,1,1,1,1,1
Green Energy Co,Energy,456 Solar Rd,Sun City,EcoLand,contact@greenenergyco.com,1987654321,Jamie Green,0,0,0,0,0
BuildIt Construction,Construction,202 Builder St,Constructville,Buildland,contact@buildit.com,5566778899,Taylor Builder,5,2,3,1,4
FinancePros,Finance,444 Money Blvd,Finance City,Moneyland,info@financepros.com,1111121314,Cash King,0,0,0,0,0
EduSmart,Education,22 Learn Ave,Edu City,Learnland,info@edusmart.com,1556677999,Prof. Edu Wise,0,0,0,0,0
TechLearn Group,Education,107 Learning Ave,Knowledge Town,Learnia,info@techlearngroup.com,4455667795,Jordan Educate,0,0,0,0,0
Culinary Creations,Food & Beverage,159 Gourmet Rd,Food City,Culinaryland,creations@culinarycreations.com,1556677889,Morgan Chef,0,0,0,0,0
Construction Giants,Construction,707 Build St,Construct City,Brazil,info@constructiongiants.com,8899001122,Carlos Builder,0,0,0,0,0
Transport Solutions Inc,Transportation,707 Transit Blvd,Transport City,Moveland,info@transportsolutions.com,7890123456,Drive Fast,0,0,0,0,0
RealEstatePro,Real Estate,357 Property Ave,Realty City,RealtyLand,contact@realestatepro.com,9876543221,Agent Alice,1,0,1,0,1
Tech Solutions,Technology,202 Tech Park,Innovate City,Techland,support@techsolutions.com,1122334455,Emma Innovate,0,0,0,0,0
AgriGrowth,Agriculture,654 Harvest Road,Farmville,Growland,contact@agrigrowth.agri,3344556677,Jordan Farm,0,0,0,0,0
Construction Giants,Construction,77 Build Ave,Construct City,Buildland,contact@constructiongiants.com,1100998877,Builder Bob,0,0,0,0,0
AutoDrive Inc.,Automotive,800 Motorway,Car City,Autoland,info@autodrive.com,1555000222,Liam J.,0,0,0,0,0
GreenHarvest,Agriculture,1400 Farm Lane,AgroCity,AgroLand,contact@greenharvest.com,9900444400,Jamie Farmer,0,0,0,0,0
Foodies Delight,Food & Beverage,400 Gourmet Ave,Taste Town,Flavorland,info@foodiesdelight.com,2233445566,Chef Tasty,0,0,0,0,0
HealthFirst,Healthcare,505 Wellness Way,HealthCity,Careland,info@healthfirst.com,1334455667,Dr. Wellbeing,0,0,0,0,0
Oceanic Ventures,Manufacturing,789 Ocean Drive,Seaside,Atlantis,hello@oceanicventures.com,1234567890,Jake Blue,0,0,0,0,0
Digital Innovators Co.,Information Technology,456 Tech Park,Innovate City,Techland,hello@digitalinnovators.com,1223344556,Morgan Design,0,0,0,0,0
EduFuture,Education,400 Learning Lane,Knowledge Town,EduLand,contact@edufuture.com,1123456789,Riley Teach,0,0,0,0,0
Health1st,Healthcare,400 Wellness St,HealthVille,CareLand,info@health1st.com,9900444400,Pat Healer,0,0,0,0,0
HealthFirst Medical,Healthcare,789 Wellness Blvd,Health City,Careland,support@healthfirst.com,1122334455,Pat Jordan,0,0,0,0,0
LearnSmart,Education,1300 Smart Lane,EduTown,KnowledgeLand,info@learnsmart.com,1122334455,Professor Smart,0,1,0,0,1
RuralHarvest,Agriculture,144 Harvest Rd,AgroCity,FarmLand,hello@ruralharvest.com,5566773356,Field Crop Jr.,0,0,0,0,0
Auto Drive,Automotive,159 Motorway,Drive City,Autoland,contact@autodrive.com,1556677889,Jordan Auto,0,0,0,0,0
RetailMart,Retail,13000 Shopping St,Retailville,Shopland,contact@retailmart.com,3123456789,Ms. Shopper,0,0,0,0,0
Travel Ventures,Travel,707 Journey St,Wanderlust City,Travelia,contact@travelventures.com,1888999000,Globe Trotter,0,1,0,1,1
Explorer's Heaven,Tourism,1515 Adventure Rd,Travel City,Tourland,info@explorersheaven.adv,9988776657,Quest Explorer,0,0,0,0,0
HealthFirst Clinics,Healthcare,202 Wellness Way,Healthtown,Careland,contact@healthfirstclinics.com,3344556677,Jordan Health,0,0,0,0,0
Gourmet Treats,Food & Beverage,123 Culinary Street,Culinary City,Foodland,info@gourmettreats.com,6677889901,Chef Baker,0,0,0,0,0
Green Energy Co,Energy,456 Solar Rd,Sun City,Ecoland,contact@greenenergy.eco,9145678901,Eco Leader,0,0,0,0,0
Tech Innovaterz,Technology,101 Silicon Alley,Techville,Innovatia,contact@techinnovaterz.com,1234567890,Innovator Prime,0,0,0,0,0
GreenFuture Enterprises,Technology,1100 Future Blvd,FutureVille,Tomorrowland,contact@greenfutureenterprises.com,7700665544,Sam Future,0,0,0,0,0
Buildland Ventures Inc.,Construction,326 Builder St.,Constructopolis,Buildland,contact@buildland.con,5566778894,Jordan Taylor,0,0,0,0,0
EduLearn Academy,Education,654 Knowledge Ave,Learnville,USA,info@edulearn.academy,1334455667,Prof. Wise,0,0,0,0,0
MediCare Plus,Healthcare,1100 Health St,Medicity,Careland,info@medicareplus.com,1789012345,Dr. Heal,0,0,0,0,0
Harvest Hills,Agriculture,134 Harvest Rd,AgroCity,FarmLand,hello@harvesthills.com,5566773352,Field Crop Jr.,0,0,0,0,0
BuildSmart Innovations Ltd.,Construction,203 Build Lane,Constructopolis,Buildland,innovations@buildsmart.com,6667778889,Builder Alice,0,0,0,0,0
Care Solutions,Healthcare,456 Care St,Healthtown,Mediland,support@caresolutions.com,3334445558,Dr. Aid,0,0,0,0,0
Green Energy Solutions,Energy,300 Solar St,Sunnytown,EcoNation,contact@greenenergy.com,3344556677,Sam Green,0,0,0,0,0
Green Energy Corp,Energy,123 Solar Street,Sunnytown,EcoLand,contact@greenenergycorp.com,1234567890,Eco Warrior,0,0,0,0,0
Eco Transport Services,Transportation,700 Transit Rd,MoveCity,TransitLand,contact@ecotransport.com,6622334455,Mr. Move Green,0,0,0,0,0
AquaPure Water Co.,Utilities,159 Water Way,Aquaville,Netherlands,support@aquapure.nl,31123456789,Aqua Man,0,0,1,0,0
Style Innovators,Fashion,203 Style Ave,Fashion City,Trendland,contact@styleinnovators.com,3344556678,Designer Dave,0,0,0,0,0
FinSecure Insurance,Finance,604 Money Lane,FinanceCity,Bankland,insurance@finsecure.com,6789012349,Banker Wealth,0,0,0,1,0
Culinary Creations,Food & Beverage,1313 Flavor St,Taste Town,Culinaryland,contact@culinarycreations.com,2223334455,Chef Flavor,0,0,0,0,0
SafeGuard,Security,101 Secure Rd,Safe City,Protectland,contact@safeguard.com,1556677001,Guard Shield,0,0,0,0,0
Solaris Systems,Energy,456 Sun Street,Sunnyvale,Solaria,info@solaris.systems,1234567890,Sunny Ray,0,0,0,0,0
Clean Water Co,Utilities,147 Aqua St,Water City,Hydroland,info@cleanwaterco.com,3031323334,Nina Aqua,2,0,1,2,1
FutureTech Labs,Technology,159 Future St,Tech City,Innovatia,info@futuretechlabs.com,5566778899,Emma Innovate,0,0,0,0,0
EduWorld,Education,200 Knowledge St,Learnville,EduNation,info@eduworld.com,5055566677,Taylor Learn,0,0,0,0,0
AgriGrowth,Agriculture,404 Farm Rd,AgriTown,FarmLand,contact@agrigrowth.com,1334455667,Mr. Farmer,0,0,0,0,0
Digital Dynamics,Technology,852 Tech Blvd,Digital City,Cyberland,support@digitaldynamics.com,1666777888,Ms. Digital Expert,0,0,0,0,0
Tech Innovators,Technology,123 Silicon Ave,Techville,Innovatia,info@techinnovators.com,2022233344,John Tech,0,0,0,0,0
Smartland Construction Co.,Construction,130 Smart St,Smart City,Smartland,info@smartlandconstruction.com,5566778899,Taylor Smart,0,0,0,0,0
BuildMasters,Construction,500 Builder Rd,Construct City,Buildland,contact@buildmasters.con,3344556677,Chris Builder,5,2,3,1,4
EduFuture Academy,Education,404 Learning Ave,Knowledge City,Learnia,contact@edufuture.com,1223344556,Prof. Wise,0,0,0,0,0
Fashion Forward,Retail,500 Style St,Fashion City,Trendland,contact@fashionforward.com,3344556677,Chic Trend,0,0,0,0,0
Retail Giants,Retail,909 Shop St,Retail City,RetailLand,info@retailgiants.com,2345678902,Mallory Shop,0,1,1,1,2
Foodies Delight,Food & Beverage,505 Gourmet Ave,Taste Town,Flavorland,info@foodiesdelight.com,8899001122,Chef Tasty,3,2,3,2,4
BreezyTech Solutions,Technology,97 Windy Way,Breezyville,Airland,info@breezytech.solutions,4455667795,Gale Storm,0,0,0,0,0
Pioneer Tech,Technology,1010 Pioneer Rd,Innovate City,Techland,contact@pioneertechnology.com,2333444555,Patricia Pioneer,0,0,0,0,0
EduQuest Learning,Education,123 Knowledge Road,Eduville,Learnland,contact@eduquest.learn,4455667789,Casey Teach,0,0,0,0,0
BuildSmart Construction,Construction,606 Build St,Construct City,Buildland,info@buildsmart.com,6677889900,Construct Wise,0,0,0,0,0
AgriFuture Corp,Agriculture,34 Farm Lane,AgroTown,FarmLand,contact@agrifuturecorp.com,2345678901,Bob Johnson,0,0,0,0,0
BuildIt,Construction,5000 Builder St,Constructown,Buildland,contact@buildit.com,5678901234,Mr. Builder,0,0,0,0,0
Culinary Delights,Food & Beverage,124 Culinary Street,Culinary City,Foodland,info@culinarydelights.com,6677889902,Chef Cook,0,0,0,0,0
Skyline Interiors,Construction,1010 Skyline Blvd,Design City,Archland,interiors@skylineconstruction.com,1112131417,Morgan Design,0,0,0,0,0
Soundwave Studios,Media,812 Broadcast Blvd,Media City,Mediatown,contact@soundwavestudios.com,1666777892,Jordan Media,0,0,0,0,0
FashionForward,Fashion,12 Style Street,Fashion City,Trendland,contact@fashionforward.style,9876543215,Taylor Trend,0,0,0,0,0
Green Energy Corp,Energy,456 Greenway Blvd,Eco City,Sustainia,info@greenenergy.com,9876543210,Frank Green,0,1,0,0,1
Eco Innovations,Technology,1010 Eco Lane,Eco City,Sustainland,support@ecoinnovations.com,9876543216,Jamie Green,0,0,0,0,0
Digital Dreems,Technology,1100 Future Blvd,TechVille,TechLand,contact@digitaldreams.com,1234567891,Karen Silver,0,0,0,0,0
GreenDrive Motors,Automotive,509 Drive Blvd,Motor City,Autoland,support@greendrive.com,4400667791,Liam Drive,1,2,2,3,1
Fields of Green Inc.,Agriculture,463 Farm Lane,Greenville,EcoLand,hello@fieldsofgreen.org,9876543217,Alex Fields,0,0,0,0,0
Flavorful Creations,Food & Beverage,456 Gourmet Ave,Culinary City,Foodland,hello@flavorfulcreations.com,6677889900,Chef Taste,0,0,0,0,0
Tech Innovators Incorporated,Technology,101 Innovation Dr.,TechVille,InnovLand,contact@techinnovators.com,1234567890,Innovate Holdings,0,0,0,0,0
Fashion Forward,Retail,789 Style Boulevard,Fashion City,Trendland,hello@fashionforward.com,1122334455,Taylor Style,0,0,0,0,0
Eco Transport Ltd,Transportation,505 Transit Rd,Move City,TransitLand,contact@ecotransport.com,1901987654,Sam Transit,0,0,0,0,0
Aqua Pure Waterworks,Utilities,303 Water Way,Aquatown,Hydroland,info@aquapure.com,6677889900,River Clean,0,0,0,0,0
Travel Adventures,Travel & Tourism,505 Journey Rd,Adventure Town,Brazil,support@traveladventures.br,551199876543,Wander Lust,0,0,0,0,0
BuildRight Co.,Construction,909 Construct Ave,Construct City,Buildland,info@buildright.com,1122334455,Morgan Construct,0,0,0,0,0
Logistics Leaders,Logistics,1111 Transport Rd,Logistic City,Moveland,info@logisticsleaders.com,9900112233,Logistics Corp,2,1,0,1,3
Media Magic,Media,606 Broadcast Blvd,Media City,MediaLand,contact@mediamagic.com,9012345678,Mike Media,0,1,0,1,2
TechCorp,Technology,200 Tech Park,Innovation City,Techland,info@techcorp.com,1234567890,Sam Tech,0,0,0,0,0
BioLife Sci,Biotechnology,1414 Bio St.,Biotown,Bioland,info@biolife.sci,9988776655,Life Gene,0,0,0,0,0
Tech Pioneers,Technology,246 Innovate Blvd,Techville,Innovatia,info@techpioneers.com,1122446688,Innovator Prime,0,0,0,0,0
HealthFirst Medical,Healthcare,303 Wellness St,Health City,Medland,support@healthfirst.com,4455667788,Jordan Healer,2,3,2,1,2
Auto Dynamics,Automotive,303 Drive Avenue,Motorville,Autoland,info@autodynamics.com,1445566778,Drive Corp,0,0,0,0,0
RetailHub,Retail,14000 Shop St,Retailville,Shopland,support@retailhub.com,9988772234,Jamie R. Seller,0,0,0,0,0
FinSecure Bank,Finance,321 Money Blvd,Finance City,Bankland,contact@finsecurebank.com,4455667788,Sam Finance,0,0,0,0,0
TechnoHub,Technology,789 Innovation Drive,Innovate City,Techland,hub@technohub.tech,1234567897,Jamie Lee,0,0,0,0,0
HomeComforts,Home & Living,741 Cozy St,Home City,Comfortland,support@homecomforts.home,1213141516,Taylor Home,0,0,0,0,0
EduSmart,Education,5030 Knowledge St,Learnville,EduNation,support@edusmart.com,6677889903,Mr. Clever,0,0,0,0,0
HealthFirst Medical,Healthcare,456 Wellness Blvd,Healthtown,Careland,support@healthfirstmedical.com,1122334455,Dr. Heal,1,1,1,1,1
Green Energy Solutions,Energy,12 Solar Drive,Eco City,Greenland,solutions@greenenergy.com,9876543215,Sam Green,0,0,0,0,0
EduSmart Learnings,Education,1122 Knowledge Road,Learnville,EduNation,contact@edusmart.learn,1555000444,Jordan Wise,0,0,0,0,0
Smart Creations,Technology,6060 Creative Blvd,Tech City,Techland,support@smartcreations.com,6655667788,Creative Genius,0,0,0,0,0
HealthFirst Medical Center,Healthcare,305 Health Blvd,Wellness Town,Healthland,info@healthfirst.com,1122334456,Dr. Wellness,3,2,3,2,3
AgriFuture Ltd.,Agriculture,12 Farm Lane,Harvest City,AgroNation,info@agrifuture.com,1122334455,Bob Farmer,0,0,0,0,0
Tech Innovators Incorporated,Technology,123 Silicon Avenue,Tech City,Innovatia,contact@techinnovators.com,1234567890,Tech Savvy,0,0,0,0,0
Green Energy Solutions,Energy,456 Solar Rd,Greenville,EcoLand,contact@greenenergysolutions.com,9876543210,Bob Green,0,1,0,0,1
Tech Titans,Technology,200 Silicon Ave,Techville,Innovatia,info@techtitans.com,1234567890,Elon Stark,0,0,0,0,0
