entity_id,entity_flags,network_id,network_entities,network_flags,flagged,flags/entity,flagged/unflagged
AirCity Flyers,46,55,21,359,11,17.1,1.1
SkyHigh Cargo,10,55,21,359,11,17.1,1.1
SkyBound Logistics,0,55,21,359,11,17.1,1.1
Skyward Airlines,0,55,21,359,11,17.1,1.1
SkyBound Airlines,35,55,21,359,11,17.1,1.1
SkyHigh Airways,56,55,21,359,11,17.1,1.1
Blue Sky Construction,0,285,22,269,11,12.23,1.0
Skyline Engineering,18,285,22,269,11,12.23,1.0
Skyline Constrction,0,285,22,269,11,12.23,1.0
Skyline Engineering Ltd,18,285,22,269,11,12.23,1.0
Skyline Urban Planners,23,285,22,269,11,12.23,1.0
SportStar Equipment,5,438,2,5,1,2.5,1.0
AgroFresh Supplies,0,285,22,269,11,12.23,1.0
Sports United,0,438,2,5,1,2.5,1.0
SafeBuild Co,0,322,4,53,2,13.25,1.0
SafeBuild Ltd,22,322,4,53,2,13.25,1.0
SafeBuild,31,322,4,53,2,13.25,1.0
Skyline Architects,42,285,22,269,11,12.23,1.0
Skyline Architechts,0,285,22,269,11,12.23,1.0
Green Fields Co,0,285,22,269,11,12.23,1.0
AutoDrive Parts,9,185,14,278,7,19.86,1.0
Skyline Solutions,19,285,22,269,11,12.23,1.0
Skyline Design Studio,0,285,22,269,11,12.23,1.0
Skyline Innovations,16,285,22,269,11,12.23,1.0
Horizon Builders,0,285,22,269,11,12.23,1.0
Auto Drive Ventures,0,185,14,278,7,19.86,1.0
Skyline Construction,63,285,22,269,11,12.23,1.0
Drivers Hub,0,185,14,278,7,19.86,1.0
Skyline Interiors,19,285,22,269,11,12.23,1.0
AutoDrive Motors Inc,24,185,14,278,7,19.86,1.0
Auto Drive Solutions,0,185,14,278,7,19.86,1.0
DriveTech Innovations,33,185,14,278,7,19.86,1.0
Motorway Solutions,17,185,14,278,7,19.86,1.0
Speedy Wheels,13,185,14,278,7,19.86,1.0
SkyTech,0,385,11,242,5,22.0,0.83
CleanWater Solutions,0,361,11,26,5,2.36,0.83
Clean Water Co,6,361,11,26,5,2.36,0.83
Cloud Nine Aviation,0,385,11,242,5,22.0,0.83
SkyHigh,0,385,11,242,5,22.0,0.83
Aqua Pure,2,361,11,26,5,2.36,0.83
Sky High Airlnes,0,385,11,242,5,22.0,0.83
Clean Water Corp,0,361,11,26,5,2.36,0.83
Sky High Airlines,0,385,11,242,5,22.0,0.83
CleanWater Initiative,3,361,11,26,5,2.36,0.83
Clean Water Solutions,0,361,11,26,5,2.36,0.83
SkyHigh Airlnes,11,385,11,242,5,22.0,0.83
TechNova Solutions Inc,17,140,20,112,9,5.6,0.82
Asset Management Co,0,324,20,84,9,4.2,0.82
GearTech Innovations,0,140,20,112,9,5.6,0.82
FinancePros,5,324,20,84,9,4.2,0.82
FinTech Innovations,2,324,20,84,9,4.2,0.82
Wealthy Insurance,0,324,20,84,9,4.2,0.82
TechNova Inc,0,140,20,112,9,5.6,0.82
TechNova,7,140,20,112,9,5.6,0.82
TechNova Group,7,140,20,112,9,5.6,0.82
Stellar Space Corp,0,140,20,112,9,5.6,0.82
BlueTech Innovations,0,140,20,112,9,5.6,0.82
FinSecure Banking,43,324,20,84,9,4.2,0.82
Nova Innovations,0,140,20,112,9,5.6,0.82
TechNova Solutons,0,140,20,112,9,5.6,0.82
TechNova Labs,10,140,20,112,9,5.6,0.82
Finance Forward,0,324,20,84,9,4.2,0.82
NovaTech Systems,13,140,20,112,9,5.6,0.82
TechNova Enterprises,6,140,20,112,9,5.6,0.82
TechNova Innovations,31,140,20,112,9,5.6,0.82
Capital Growth Ltd,0,324,20,84,9,4.2,0.82
FinancePros Inc,0,324,20,84,9,4.2,0.82
TechnoWheels Corp,0,140,20,112,9,5.6,0.82
TechNova Ventures,0,140,20,112,9,5.6,0.82
SecureFin Investments,0,324,20,84,9,4.2,0.82
TechnoCorp,0,140,20,112,9,5.6,0.82
TechNova Systems,1,140,20,112,9,5.6,0.82
TechNova Solutions,20,140,20,112,9,5.6,0.82
Construction Masterz,0,264,9,259,4,28.78,0.8
Construction Giants,15,264,9,259,4,28.78,0.8
Build Better,0,264,9,259,4,28.78,0.8
Construction Masters,45,264,9,259,4,28.78,0.8
Construction Builders,0,264,9,259,4,28.78,0.8
BuildRight,39,264,9,259,4,28.78,0.8
GoldenGate Construction,0,264,9,259,4,28.78,0.8
FinServe Bank,0,325,7,56,3,8.0,0.75
EduTech Hub,0,287,7,51,3,7.29,0.75
Digital Innovators,0,137,14,82,6,5.86,0.75
DigitalSolutions,5,137,14,82,6,5.86,0.75
Digital Solutions Hub,0,137,14,82,6,5.86,0.75
Digital Dynamics,31,137,14,82,6,5.86,0.75
Mason & Co Design,4,287,7,51,3,7.29,0.75
FinGuard Bank,0,325,7,56,3,8.0,0.75
Rural Harvest,0,287,7,51,3,7.29,0.75
ConstructWell Builders,42,287,7,51,3,7.29,0.75
Bright Minds,0,287,7,51,3,7.29,0.75
Digital Solutions Ltd,0,137,14,82,6,5.86,0.75
Digital Ventures,0,137,14,82,6,5.86,0.75
Digital Solutions Inc,0,137,14,82,6,5.86,0.75
Digital Solut1ons,0,137,14,82,6,5.86,0.75
Digital Solutions,2,137,14,82,6,5.86,0.75
FinTrust Bank,0,325,7,56,3,8.0,0.75
Broadcast Ventures,6,44,19,80,8,4.21,0.73
Media Creators,5,44,19,80,8,4.21,0.73
Media Pioneers,7,44,19,80,8,4.21,0.73
Media Solutions,7,44,19,80,8,4.21,0.73
Media Masters Inc,7,44,19,80,8,4.21,0.73
MediaMinds,0,44,19,80,8,4.21,0.73
Media Magic Ltd,0,44,19,80,8,4.21,0.73
Media Magik,0,44,19,80,8,4.21,0.73
MediaHub Productions,10,44,19,80,8,4.21,0.73
MediaBuzz,0,44,19,80,8,4.21,0.73
Media Pioneers Inc,0,44,19,80,8,4.21,0.73
MediaMix,0,44,19,80,8,4.21,0.73
Media Magic,7,44,19,80,8,4.21,0.73
RichInvest,0,36,12,31,5,2.58,0.71
WealthGuard,0,36,12,31,5,2.58,0.71
SecureWealth,0,36,12,31,5,2.58,0.71
Richie Holdings,0,36,12,31,5,2.58,0.71
Finance Wizards,6,36,12,31,5,2.58,0.71
Finance Wizards International,6,36,12,31,5,2.58,0.71
Finance Sorcerers,6,36,12,31,5,2.58,0.71
FinTech Innovators,0,36,12,31,5,2.58,0.71
Blue Ocean Industrees,3,369,12,13,5,1.08,0.71
BlueOcean Industries,1,369,12,13,5,1.08,0.71
Coral Reef Productions,1,369,12,13,5,1.08,0.71
Blue Ocean Ventures,1,369,12,13,5,1.08,0.71
Blue Ocean Industries,7,369,12,13,5,1.08,0.71
Green Sea Entprises,0,369,12,13,5,1.08,0.71
Blue Ocean Enterprises,0,369,12,13,5,1.08,0.71
BlueOcean Enterprises,0,369,12,13,5,1.08,0.71
Oceanic Blue Industries,0,369,12,13,5,1.08,0.71
Blue Ocean Corp,0,369,12,13,5,1.08,0.71
BlueCurrent Power,0,50,17,80,7,4.71,0.7
CanalWorks Inc,5,50,17,80,7,4.71,0.7
RiverTech Solutions,17,50,17,80,7,4.71,0.7
BlueWave Utility,0,50,17,80,7,4.71,0.7
RiverStream Services,17,50,17,80,7,4.71,0.7
RiverStream Solutions,17,50,17,80,7,4.71,0.7
BlueWave Utilities,0,50,17,80,7,4.71,0.7
FlowStream Enterprises,0,50,17,80,7,4.71,0.7
WaveBlue Innovations,0,50,17,80,7,4.71,0.7
HydroFlow Innovations,0,50,17,80,7,4.71,0.7
RetailHub Stores,20,23,15,101,6,6.73,0.67
Gastronomy Galore,0,161,5,14,2,2.8,0.67
Gourmet Gatherings,0,161,5,14,2,2.8,0.67
Retail Gaints,0,23,15,101,6,6.73,0.67
RetailRush,0,23,15,101,6,6.73,0.67
RetailHub,3,23,15,101,6,6.73,0.67
Retail World Ltd,0,23,15,101,6,6.73,0.67
RetailMart,13,23,15,101,6,6.73,0.67
Retail Giants,43,23,15,101,6,6.73,0.67
ConsultPro,0,23,15,101,6,6.73,0.67
Retail Hub,15,23,15,101,6,6.73,0.67
Flavor Factory,0,161,5,14,2,2.8,0.67
Retail Leaders,0,23,15,101,6,6.73,0.67
Retail Revolution,0,23,15,101,6,6.73,0.67
Retail World,7,23,15,101,6,6.73,0.67
RetailSecure,0,23,15,101,6,6.73,0.67
TasteBuds,7,161,5,14,2,2.8,0.67
Retail Realm,0,23,15,101,6,6.73,0.67
UrbanConstruct,2,280,18,63,7,3.5,0.64
UrbanBuild Developments,0,280,18,63,7,3.5,0.64
Creative Spaces,0,280,18,63,7,3.5,0.64
Creative Builders,0,280,18,63,7,3.5,0.64
Urban Visionaries,0,280,18,63,7,3.5,0.64
UrbanBuild Co,4,397,26,400,10,15.38,0.62
UrbanEco Builders,0,397,26,400,10,15.38,0.62
TechGuard,0,320,13,30,5,2.31,0.62
TechFinance Innovations,0,320,13,30,5,2.31,0.62
FinTech Solutons,0,320,13,30,5,2.31,0.62
UrbanBuild Group,0,397,26,400,10,15.38,0.62
Urban Builders Ltd,0,397,26,400,10,15.38,0.62
UrbanConstruct Ltd,0,397,26,400,10,15.38,0.62
Urban Builders,113,397,26,400,10,15.38,0.62
Urban Development Group,0,397,26,400,10,15.38,0.62
Urban Builders Inc,0,397,26,400,10,15.38,0.62
CleanEnergy,0,320,13,30,5,2.31,0.62
Clean Energy Partners,0,320,13,30,5,2.31,0.62
FinServe,16,320,13,30,5,2.31,0.62
EduTech Pioneers,7,313,16,27,6,1.69,0.6
Smart Edu Hub,0,313,16,27,6,1.69,0.6
EduVision,0,313,16,27,6,1.69,0.6
Smart Education Hub,0,313,16,27,6,1.69,0.6
Smart Education,0,313,16,27,6,1.69,0.6
EduTech Innovators,0,313,16,27,6,1.69,0.6
Innovative Learning Hub,1,313,16,27,6,1.69,0.6
Smart Learning Hub,1,313,16,27,6,1.69,0.6
Skyland Cargo,21,48,8,34,3,4.25,0.6
SunPower Innovations,0,48,8,34,3,4.25,0.6
EcoVision Estates,0,48,8,34,3,4.25,0.6
BeverageHub,0,48,8,34,3,4.25,0.6
BeverageHub Inc,0,48,8,34,3,4.25,0.6
EcoHome Designz,0,261,24,230,9,9.58,0.6
Sustainable Homes Inc,0,261,24,230,9,9.58,0.6
EcoHome Solutions,6,261,24,230,9,9.58,0.6
EcoHome Designs,6,261,24,230,9,9.58,0.6
EcoLiving Developments,0,261,24,230,9,9.58,0.6
EcoHome Buildrs,0,261,24,230,9,9.58,0.6
EcoBuild Solutions,11,261,24,230,9,9.58,0.6
EcoHome Builders,64,261,24,230,9,9.58,0.6
EcoBuild Associates,0,261,24,230,9,9.58,0.6
GreenHouse Constructors,0,261,24,230,9,9.58,0.6
MediaWave Inc,5,46,19,80,7,4.21,0.58
Media Vision Group,0,46,19,80,7,4.21,0.58
MediaBuzz Productions,7,46,19,80,7,4.21,0.58
Media Buzz,0,46,19,80,7,4.21,0.58
Media House,0,46,19,80,7,4.21,0.58
Media World,10,46,19,80,7,4.21,0.58
Aqua Holdings,0,46,19,80,7,4.21,0.58
MediaStream Networks,0,46,19,80,7,4.21,0.58
Media Connect,0,46,19,80,7,4.21,0.58
Media Vision,0,46,19,80,7,4.21,0.58
MediaSafe,0,46,19,80,7,4.21,0.58
MediaHouse,0,46,19,80,7,4.21,0.58
MediaWave,5,46,19,80,7,4.21,0.58
Media Masterz,0,46,19,80,7,4.21,0.58
MediaWave Broadcasting,6,46,19,80,7,4.21,0.58
BuildSmart Construction,1,252,11,16,4,1.45,0.57
Build It Smart,0,252,11,16,4,1.45,0.57
BuildSmart Co,0,252,11,16,4,1.45,0.57
AquaPure Water Co,1,359,11,44,4,4.0,0.57
AquaPure Waterworks Inc,0,359,11,44,4,4.0,0.57
Aqua Pure Waterworks,0,359,11,44,4,4.0,0.57
Aqua Pure Inc,0,359,11,44,4,4.0,0.57
AquaPure Waterworks Ltd,13,359,11,44,4,4.0,0.57
Build Smart,0,252,11,16,4,1.45,0.57
BuildSmart,1,252,11,16,4,1.45,0.57
BuildSmart Constructors,0,252,11,16,4,1.45,0.57
HealthFirst Wellness,27,104,11,205,4,18.64,0.57
HealthFirst Services,0,104,11,205,4,18.64,0.57
CarePlus Group,0,104,11,205,4,18.64,0.57
Cure Clinic,0,104,11,205,4,18.64,0.57
AgriFuture Inc,0,71,14,158,5,11.29,0.56
FarmLand Produce,6,71,14,158,5,11.29,0.56
Global Traders,0,71,14,158,5,11.29,0.56
MagentaMount Textiles,0,71,14,158,5,11.29,0.56
AgriGrowth Farms,80,71,14,158,5,11.29,0.56
PlatinumPeak Finance,0,71,14,158,5,11.29,0.56
VioletValley Wines,0,360,17,73,6,4.29,0.55
WaterWorks Ltd,7,360,17,73,6,4.29,0.55
BronzeShield Security,0,360,17,73,6,4.29,0.55
RiverFlow Logistics,0,360,17,73,6,4.29,0.55
HydroPower Corp,0,360,17,73,6,4.29,0.55
RiverRun Logistics,0,360,17,73,6,4.29,0.55
AquaPure Waterworks,19,360,17,73,6,4.29,0.55
SkyNet Communications,0,360,17,73,6,4.29,0.55
OrganicRoots Inc,0,75,23,71,8,3.09,0.53
EcoHarvest,6,75,23,71,8,3.09,0.53
GreenField Ventures,0,75,23,71,8,3.09,0.53
Fields of Green Inc,0,75,23,71,8,3.09,0.53
GreenLeaf Organix,3,75,23,71,8,3.09,0.53
GreenLeaf Ventures,8,75,23,71,8,3.09,0.53
Leafy Greens Co,0,75,23,71,8,3.09,0.53
GreenLeaf Organics International,4,75,23,71,8,3.09,0.53
GreenLeaf Organics,38,75,23,71,8,3.09,0.53
GreenField Enterprises,0,75,23,71,8,3.09,0.53
Sustainable Ventures Ltd,0,75,23,71,8,3.09,0.53
EcoHarvest Farms,7,75,23,71,8,3.09,0.53
GreenLeaf Organics Ltd,4,75,23,71,8,3.09,0.53
GreenGrow,0,75,23,71,8,3.09,0.53
MountainPeak Mining,0,409,3,13,1,4.33,0.5
TerraFirma Earthworks,0,409,3,13,1,4.33,0.5
Harvest Corp,0,382,12,22,4,1.83,0.5
Entertainment Leaders,6,382,12,22,4,1.83,0.5
Mountain Mining Co,13,409,3,13,1,4.33,0.5
Design Innovators,0,382,12,22,4,1.83,0.5
Marine Tech Solutions,0,371,3,7,1,2.33,0.5
Blue Ocean Manufacturing,0,371,3,7,1,2.33,0.5
Style Savvy,0,382,12,22,4,1.83,0.5
AgriHarvest,0,382,12,22,4,1.83,0.5
Innovative Designs,4,382,12,22,4,1.83,0.5
UrbanStyle Architecture,0,382,12,22,4,1.83,0.5
FreshBite Organics,5,259,27,200,9,7.41,0.5
EcoWealth Partnerz,0,329,6,12,2,2.0,0.5
Investment Wizards,5,329,6,12,2,2.0,0.5
AutoDriv Inc,0,176,6,33,2,5.5,0.5
AutoDrive Ltd,0,176,6,33,2,5.5,0.5
Skyline Green Spaces,2,259,27,200,9,7.41,0.5
EcoWorld,0,259,27,200,9,7.41,0.5
EcoSmart Builders,0,259,27,200,9,7.41,0.5
Urban Greenery,0,259,27,200,9,7.41,0.5
Eco Homes,0,259,27,200,9,7.41,0.5
Eco Builders,52,259,27,200,9,7.41,0.5
BlackRock Mining,0,189,9,61,3,6.78,0.5
EcoDrive Motors,41,189,9,61,3,6.78,0.5
EcoDrive Motors Ltd,11,189,9,61,3,6.78,0.5
EcoDrive Rentals,0,189,9,61,3,6.78,0.5
RubyRidge Investments,0,189,9,61,3,6.78,0.5
EcoRide Vehicles,9,189,9,61,3,6.78,0.5
Fashion Innovators,6,240,9,14,3,1.56,0.5
Fashion Trends Inc,0,240,9,14,3,1.56,0.5
FashionTrends,0,240,9,14,3,1.56,0.5
Fashionistas Hub,0,245,12,194,4,16.17,0.5
UrbanStyle Fashion,12,245,12,194,4,16.17,0.5
FashionHub,9,245,12,194,4,16.17,0.5
Fashionista Hub,0,245,12,194,4,16.17,0.5
Fashion Forword,0,245,12,194,4,16.17,0.5
Fashion Hub,0,245,12,194,4,16.17,0.5
Broadcast Solutions,0,245,12,194,4,16.17,0.5
Eco Buildrs,0,259,27,200,9,7.41,0.5
Organic Harvest Ltd,0,170,9,12,3,1.33,0.5
Fresh Foods,0,170,9,12,3,1.33,0.5
FreshFields Market,1,170,9,12,3,1.33,0.5
Urban Development Inc,0,278,27,316,9,11.7,0.5
SecureFin,0,329,6,12,2,2.0,0.5
EcoWealth Partners,0,329,6,12,2,2.0,0.5
Urban Green Landscapes,0,259,27,200,9,7.41,0.5
Health 1st Clinic,0,113,9,70,3,7.78,0.5
HealthFirst Klinic,0,113,9,70,3,7.78,0.5
Health First Clinic,0,113,9,70,3,7.78,0.5
Health First Clinics,5,113,9,70,3,7.78,0.5
EduCity Innovations,0,316,9,30,3,3.33,0.5
EduFutre,0,316,9,30,3,3.33,0.5
EduVision Academy,0,316,9,30,3,3.33,0.5
EduFutre Academy,0,316,9,30,3,3.33,0.5
Urban Development Co,0,278,27,316,9,11.7,0.5
Fresh Foods Market,0,170,9,12,3,1.33,0.5
Urban Green,5,278,27,316,9,11.7,0.5
BuildSafe,0,278,27,316,9,11.7,0.5
TechAgri Corp,0,278,27,316,9,11.7,0.5
UrbanGreen,0,278,27,316,9,11.7,0.5
Eco Builders Ltd,0,278,27,316,9,11.7,0.5
Build Better Homes,0,278,27,316,9,11.7,0.5
BuildSafe Enterprises,32,278,27,316,9,11.7,0.5
Urban Development Corp,0,278,27,316,9,11.7,0.5
Urban Builders Co,60,278,27,316,9,11.7,0.5
FreshFoods Market,0,170,9,12,3,1.33,0.5
Gourmet Delights Ltd,0,170,9,12,3,1.33,0.5
Eco Green Solutions,0,259,27,200,9,7.41,0.5
OrangeGrove Agriculture,0,189,9,61,3,6.78,0.5
EcoBuild Ltd,0,262,22,168,7,7.64,0.47
EcoSolutions Ltd,0,262,22,168,7,7.64,0.47
EcoConstruct,0,262,22,168,7,7.64,0.47
Sustainable Structures,0,262,22,168,7,7.64,0.47
Eco Apparel,0,262,22,168,7,7.64,0.47
EcoBuild Enterprises,7,262,22,168,7,7.64,0.47
EcoBuild Innovations,44,262,22,168,7,7.64,0.47
Green Construct Solutions,0,262,22,168,7,7.64,0.47
EcoWear Apparel,0,262,22,168,7,7.64,0.47
EcoBuild Partners,0,262,22,168,7,7.64,0.47
EcoConstruct Innovations,0,262,22,168,7,7.64,0.47
EcoConstruct Ltd,0,262,22,168,7,7.64,0.47
EcoBuild Innovatons,44,262,22,168,7,7.64,0.47
GreenEnrgy Corp,0,192,19,153,6,8.05,0.46
GreenEnergy Corp,8,192,19,153,6,8.05,0.46
Green Energy Group,0,192,19,153,6,8.05,0.46
Green Energi Solutions,0,192,19,153,6,8.05,0.46
GreenEnergy Inc,0,192,19,153,6,8.05,0.46
Green Power Co,0,192,19,153,6,8.05,0.46
EduTech Learnin,0,311,19,53,6,2.79,0.46
EduTech Learning,3,311,19,53,6,2.79,0.46
GreenEnergy Corporation,0,192,19,153,6,8.05,0.46
Green Energi Corp,0,192,19,153,6,8.05,0.46
EduTech Global,0,311,19,53,6,2.79,0.46
EduTech,5,311,19,53,6,2.79,0.46
EduTech Learnings,0,311,19,53,6,2.79,0.46
EduTech Innovatons,0,311,19,53,6,2.79,0.46
EduTech Solutons,0,311,19,53,6,2.79,0.46
EduTech Research,0,311,19,53,6,2.79,0.46
EduTech Innovaterz,0,311,19,53,6,2.79,0.46
GreenEnergy Co,0,192,19,153,6,8.05,0.46
Green Power Inc,0,192,19,153,6,8.05,0.46
BuildRight Construction,160,270,16,316,5,19.75,0.45
GreenWave Industries,0,270,16,316,5,19.75,0.45
RightWay Construction,0,270,16,316,5,19.75,0.45
Global Logistics,21,22,16,57,5,3.56,0.45
BuildRight Constructions,55,270,16,316,5,19.75,0.45
Construct City Developers,0,270,16,316,5,19.75,0.45
Logistics Experts,0,22,16,57,5,3.56,0.45
ConstructWell Ltd,0,270,16,316,5,19.75,0.45
RightBuild Co,0,270,16,316,5,19.75,0.45
EcoLogistics Inc,0,22,16,57,5,3.56,0.45
Constructo Inc,47,270,16,316,5,19.75,0.45
Mason & Co Renovations,15,270,16,316,5,19.75,0.45
BuildRight Co,0,270,16,316,5,19.75,0.45
Quick Construct Services,0,270,16,316,5,19.75,0.45
BuildRight Ltd,0,270,16,316,5,19.75,0.45
Logistics Pro,5,22,16,57,5,3.56,0.45
BioGrow,0,22,16,57,5,3.56,0.45
LogisticsLink,6,22,16,57,5,3.56,0.45
Logistics Leaders,20,22,16,57,5,3.56,0.45
Logistics Masters,0,22,16,57,5,3.56,0.45
RightBuld Co,0,270,16,316,5,19.75,0.45
LogisticsPro,5,22,16,57,5,3.56,0.45
BuildIt Corp,0,263,16,282,5,17.62,0.45
BioGenetics,0,22,16,57,5,3.56,0.45
TransLogistics,0,22,16,57,5,3.56,0.45
Logistics Link,0,22,16,57,5,3.56,0.45
LogiTrans Logistics,0,22,16,57,5,3.56,0.45
Build It,0,263,16,282,5,17.62,0.45
BioHarvest Corp,0,263,16,282,5,17.62,0.45
Real Estate Experts,0,263,16,282,5,17.62,0.45
BioHarvest Inc,0,263,16,282,5,17.62,0.45
BioHarvest Farms,0,263,16,282,5,17.62,0.45
BuildIt,39,263,16,282,5,17.62,0.45
Construction Giants Inc,0,263,16,282,5,17.62,0.45
BuildIt Inc,10,263,16,282,5,17.62,0.45
Real Estate Experts Co,0,263,16,282,5,17.62,0.45
Greenland Construction,0,263,16,282,5,17.62,0.45
BuildIt Supplies,0,263,16,282,5,17.62,0.45
BioHarvest,0,263,16,282,5,17.62,0.45
Real Estate Pros,10,263,16,282,5,17.62,0.45
EduSmart Learnings,1,298,23,49,7,2.13,0.44
EduSmart Innovations,3,298,23,49,7,2.13,0.44
EduSmart,5,298,23,49,7,2.13,0.44
Airline Pioneers,0,386,26,156,8,6.0,0.44
AeroTech Dynamics,0,386,26,156,8,6.0,0.44
AeroSpace Dynamics,44,386,26,156,8,6.0,0.44
SkyHigh Aviation,13,386,26,156,8,6.0,0.44
Aero Dynamics,0,386,26,156,8,6.0,0.44
AeroDynamics,11,386,26,156,8,6.0,0.44
SkyHigh Aerospace,1,386,26,156,8,6.0,0.44
BlueSky Airlines,14,386,26,156,8,6.0,0.44
SkyWings,0,386,26,156,8,6.0,0.44
EduSmart Institute,0,298,23,49,7,2.13,0.44
EduSmart Schools,0,298,23,49,7,2.13,0.44
SecureFinance Group,0,386,26,156,8,6.0,0.44
EduSmart Inc,0,298,23,49,7,2.13,0.44
SkyHigh AeroSpace,2,386,26,156,8,6.0,0.44
Entertainment Empire Inc,0,386,26,156,8,6.0,0.44
JetStream Airlines,15,386,26,156,8,6.0,0.44
FlightPath Logistics,0,386,26,156,8,6.0,0.44
GoldLine Transport,0,298,23,49,7,2.13,0.44
