selections,protected_count
age_range:(50-60];quality_issue:True,61
age_range:(20-30];product_code:H,61
age_range:(40-50];period:2022-H2,61
period:2023-H2;price_issue:True;product_code:D,60
delivery_issue:True;period:2023-H2;product_code:C,60
age_range:(30-40];product_code:G;quality_issue:True,60
city:Hilltop;delivery_issue:True;period:2023-H2,60
city:Rivertown;price_issue:True,60
age_range:(30-40];description_issue:True;service_issue:True,60
age_range:(20-30];period:2023-H2;product_code:D,60
city:Forestville,60
period:2023-H2;product_code:E;quality_issue:True,60
age_range:(30-40];period:2021-H2,60
description_issue:True;product_code:G,60
delivery_issue:True;period:2023-H2;service_issue:True,59
city:Hilltop;period:2023-H2;product_code:D,59
age_range:(20-30];city:Rivertown,59
city:Valleyview,59
city:Hilltop;price_issue:True,58
description_issue:True;period:2023-H1;product_code:C,58
city:Rivertown;service_issue:True,58
period:2020-H1,58
city:Riverside;delivery_issue:True,58
age_range:(40-50];delivery_issue:True;product_code:D,58
age_range:(20-30];city:Hilltop,58
city:Hilltop;description_issue:True,58
delivery_issue:True;period:2023-H2;product_code:H,57
age_range:(40-50];period:2023-H2;product_code:D,57
age_range:(20-30];description_issue:True;period:2023-H2,57
delivery_issue:True;product_code:G;service_issue:True,57
description_issue:True;product_code:B,57
age_range:(30-40];period:2023-H1;product_code:A,57
age_range:(50-60];city:Hilltop,57
age_range:(30-40];delivery_issue:True;product_code:A,57
age_range:(30-40];price_issue:True;product_code:C,57
age_range:(20-30];product_code:C;service_issue:True,57
age_range:(50-60];period:2023-H1,57
age_range:(40-50];product_code:C;service_issue:True,57
period:2023-H1;price_issue:True;product_code:C,56
period:2023-H1;product_code:F;service_issue:True,56
age_range:(30-40];period:2023-H2;product_code:E,56
age_range:(30-40];delivery_issue:True;description_issue:True,56
age_range:(30-40];delivery_issue:True;product_code:G,56
age_range:(40-50];delivery_issue:True;product_code:C,56
city:Springfield;period:2023-H1;service_issue:True,56
city:Riverside;service_issue:True,56
age_range:(40-50];product_code:B;quality_issue:True,55
age_range:(20-30];period:2023-H1;product_code:B,55
delivery_issue:True;period:2023-H1;price_issue:True,55
period:2023-H2;product_code:D;quality_issue:True,55
age_range:(30-40];description_issue:True;product_code:F,55
city:Hilltop;period:2023-H2;price_issue:True,54
age_range:(30-40];period:2021-H1,54
age_range:(40-50];period:2023-H1;product_code:F,54
age_range:(30-40];delivery_issue:True;period:2023-H2;quality_issue:True,53
delivery_issue:True;period:2021-H2,53
city:Springfield;period:2023-H1;quality_issue:True,53
period:2023-H2;product_code:D;service_issue:True,53
age_range:(30-40];city:Greenfield,52
period:2022-H2;price_issue:True,52
period:2021-H2;product_code:C,52
period:2023-H2;product_code:F,52
period:2023-H2;price_issue:True;product_code:A,52
age_range:(30-40];city:Lakeside;price_issue:True,52
city:Springfield;delivery_issue:True;period:2023-H1,52
city:Riverside;description_issue:True;period:2023-H1,52
period:2023-H2;product_code:G;quality_issue:True,52
city:Brookside;period:2023-H1,51
age_range:(40-50];period:2023-H2;product_code:H,51
age_range:(20-30];delivery_issue:True;product_code:C,51
city:Rivertown;period:2023-H2,51
period:2023-H1;product_code:B;service_issue:True,51
delivery_issue:True;period:2023-H1;product_code:F,50
period:2023-H2;product_code:B,50
age_range:(30-40];period:2023-H2;product_code:B,50
city:Seaside;service_issue:True,50
city:Springfield;period:2023-H1;price_issue:True,50
age_range:(40-50];description_issue:True;product_code:C,50
delivery_issue:True;period:2023-H2;product_code:E,50
delivery_issue:True;description_issue:True;period:2023-H2,50
description_issue:True;period:2023-H1;quality_issue:True,50
city:Lakeside;product_code:B,50
age_range:(20-30];period:2020-H2,50
age_range:(30-40];city:Brookside,50
city:Mountainview;period:2023-H1,50
period:2022-H2;product_code:E,50
price_issue:True;product_code:C;service_issue:True,50
city:Lakeside;period:2023-H2;service_issue:True,49
city:Springfield;period:2023-H1;product_code:A,49
age_range:(40-50];price_issue:True;product_code:E,49
period:2023-H1;price_issue:True;product_code:B,49
city:Springfield;product_code:C,49
period:2023-H1;product_code:G;quality_issue:True,49
description_issue:True;period:2023-H1;product_code:F,49
city:Meadowland,49
description_issue:True;price_issue:True;product_code:A,49
age_range:(20-30];product_code:G;quality_issue:True,48
age_range:(20-30];description_issue:True;price_issue:True,48
delivery_issue:True;period:2023-H1;product_code:C,48
age_range:(30-40];city:Lakeside;service_issue:True,48
period:2023-H2;price_issue:True;product_code:G,48
city:Lakeside;period:2023-H2;price_issue:True,48
age_range:(20-30];city:Rivertown;period:2023-H1,48
city:Seaside;period:2023-H2,48
age_range:(30-40];city:Springfield;price_issue:True,48
age_range:(30-40];price_issue:True;product_code:F,48
age_range:(30-40];price_issue:True;product_code:D,47
age_range:(30-40];delivery_issue:True;product_code:E,47
delivery_issue:True;price_issue:True;product_code:A,47
age_range:(30-40];period:2023-H1;product_code:B;quality_issue:True,47
age_range:(30-40];city:Lakeside;period:2023-H2;quality_issue:True,47
age_range:(20-30];city:Riverside,47
city:Seaside;period:2023-H1,47
period:2022-H1;quality_issue:True,47
age_range:(50-60];price_issue:True,47
age_range:(30-40];city:Hilltop;period:2023-H2,47
age_range:(30-40];product_code:E;quality_issue:True,47
age_range:(40-50];city:Mountainview,46
age_range:(20-30];city:Springfield;period:2023-H1,46
age_range:(40-50];product_code:E;quality_issue:True,46
age_range:(30-40];product_code:F;quality_issue:True,46
city:Greenfield;period:2023-H2,46
age_range:(20-30];city:Lakeside;period:2023-H2,46
age_range:(30-40];delivery_issue:True;product_code:H,46
age_range:(30-40];delivery_issue:True;product_code:C,46
age_range:(30-40];period:2023-H2;product_code:H;quality_issue:True,46
period:2022-H1;price_issue:True,45
city:Lakeside;period:2021-H2;product_code:C,45
period:2020-H2;service_issue:True,45
age_range:(20-30];description_issue:True;product_code:A,45
city:Lakeside;period:2021-H2,45
age_range:(30-40];city:Meadowville,45
period:2023-H2;price_issue:True;product_code:H,45
city:Riverside;quality_issue:True,45
period:2023-H2;price_issue:True;quality_issue:True,45
age_range:(40-50];period:2021-H2,45
period:2023-H2;product_code:A;service_issue:True,45
age_range:(40-50];period:2022-H1,45
period:2020-H2;product_code:E,44
city:Mountainview;delivery_issue:True;product_code:C,44
age_range:(30-40];product_code:B;service_issue:True,44
description_issue:True;period:2022-H2,44
city:Brookside;price_issue:True,44
age_range:(20-30];delivery_issue:True;service_issue:True,44
period:2023-H2;product_code:C;quality_issue:True,44
age_range:(30-40];product_code:H;service_issue:True,44
age_range:(30-40];description_issue:True;product_code:G,44
description_issue:True;period:2023-H1;service_issue:True,44
age_range:(30-40];period:2023-H2;product_code:G,44
period:2023-H1;quality_issue:True;service_issue:True,43
city:Brookside;quality_issue:True,43
city:Springfield;period:2023-H1;product_code:G,43
age_range:(30-40];city:Mountainview,43
city:Seaside;quality_issue:True,43
age_range:(40-50];city:Hilltop;period:2023-H2,43
description_issue:True;period:2022-H1,43
age_range:(40-50];price_issue:True;quality_issue:True,42
age_range:(20-30];period:2023-H1;product_code:F,42
city:Rivertown;delivery_issue:True,42
age_range:(30-40];period:2022-H2;price_issue:True,42
period:2024-H1,42
age_range:(30-40];period:2023-H2;product_code:C,42
city:Lakeside;product_code:B;quality_issue:True,42
age_range:(20-30];period:2022-H2,42
description_issue:True;period:2023-H2;product_code:E,41
city:Meadowville;period:2023-H2,41
description_issue:True;price_issue:True;product_code:G,41
age_range:(30-40];period:2023-H1;product_code:E,41
age_range:(30-40];period:2023-H1;product_code:C;service_issue:True,41
age_range:(20-30];product_code:A;service_issue:True,41
city:Riverbend,41
age_range:(40-50];city:Lakeside;product_code:C,41
city:Greenfield;period:2023-H1,41
city:Riverside;period:2023-H1;price_issue:True,41
city:Mountainview;description_issue:True,41
age_range:(30-40];product_code:A;quality_issue:True,41
city:Lakeside;product_code:A,41
delivery_issue:True;period:2023-H2;product_code:A,41
age_range:(30-40];description_issue:True;quality_issue:True,41
age_range:(40-50];city:Mountainview;product_code:C,41
period:2021-H2;product_code:C;service_issue:True,41
age_range:(20-30];delivery_issue:True;price_issue:True,41
age_range:(40-50];delivery_issue:True;description_issue:True;period:2023-H1,40
age_range:(40-50];period:2021-H2;product_code:C,40
city:Rivertown;product_code:A,40
age_range:(20-30];period:2023-H1;price_issue:True;product_code:A,40
age_range:(30-40];city:Springfield;product_code:A,40
delivery_issue:True;product_code:H;quality_issue:True,40
city:Rivertown;period:2023-H1;product_code:B,40
city:Lakeside;description_issue:True;period:2023-H2,40
age_range:(30-40];period:2023-H1;price_issue:True;service_issue:True,40
age_range:(40-50];period:2023-H1;product_code:A,40
city:Brookside;period:2023-H2,40
city:Springfield;product_code:G;service_issue:True,40
age_range:(40-50];city:Springfield,40
age_range:(30-40];city:Lakeside;description_issue:True,40
age_range:(50-60];city:Hilltop;period:2023-H2,40
age_range:(40-50];city:Mountainview;period:2023-H1,40
age_range:(40-50];delivery_issue:True;service_issue:True,40
city:Lakeside;product_code:D,40
period:2022-H2;product_code:A,40
age_range:(30-40];product_code:A;service_issue:True,40
age_range:(30-40];product_code:D;service_issue:True,40
city:Rivertown;period:2023-H1;quality_issue:True,40
period:2021-H1;quality_issue:True,40
age_range:(30-40];description_issue:True;product_code:E,39
age_range:(30-40];description_issue:True;period:2023-H1;price_issue:True,39
city:Mountainview;period:2023-H1;product_code:C,39
age_range:(30-40];product_code:D;quality_issue:True,39
city:Hilltop;product_code:H,39
age_range:(30-40];delivery_issue:True;period:2023-H2;price_issue:True,39
description_issue:True;product_code:H;quality_issue:True,39
age_range:(20-30];delivery_issue:True;product_code:D,39
age_range:(30-40];city:Forestville,39
city:Mountainview;period:2023-H2,39
city:Mountainview;description_issue:True;period:2023-H1,38
age_range:(50-60];product_code:H,38
age_range:(40-50];price_issue:True;product_code:D,38
city:Lakeside;period:2021-H2;service_issue:True,38
city:Hilltop;delivery_issue:True;period:2023-H1,38
age_range:(30-40];period:2023-H1;price_issue:True;product_code:G,38
period:2023-H1;product_code:H,38
period:2021-H1;price_issue:True,38
city:Lakeside;period:2023-H1;price_issue:True,38
city:Rivertown;period:2023-H1;price_issue:True,38
age_range:(30-40];delivery_issue:True;period:2022-H2,38
period:2023-H2;product_code:A;quality_issue:True,38
city:Seaside;price_issue:True,38
city:Brookside;delivery_issue:True,38
city:Mountainview;price_issue:True,38
city:Lakeside;delivery_issue:True;period:2023-H2,38
age_range:(20-30];product_code:F;service_issue:True,37
period:2023-H1;product_code:F;quality_issue:True,37
age_range:(50-60];description_issue:True,37
age_range:(40-50];delivery_issue:True;period:2022-H2,37
city:Springfield;delivery_issue:True;period:2023-H2,37
period:2023-H2;product_code:G;service_issue:True,37
age_range:(40-50];delivery_issue:True;price_issue:True,37
age_range:(30-40];description_issue:True;product_code:C,37
age_range:(40-50];city:Hilltop;delivery_issue:True,37
age_range:(30-40];city:Lakeside;delivery_issue:True,37
city:Springfield;period:2023-H2;product_code:C,37
description_issue:True;period:2023-H1;product_code:B,37
city:Mountainview;description_issue:True;product_code:C,37
period:2020-H2;quality_issue:True,37
age_range:(30-40];delivery_issue:True;period:2023-H1;product_code:B,37
city:Valleytown,37
period:2022-H1;service_issue:True,37
city:Riverside;product_code:A,37
age_range:(20-30];city:Springfield;quality_issue:True,37
period:2022-H1;product_code:G,36
period:2023-H1;price_issue:True;product_code:C;service_issue:True,36
city:Lakeside;delivery_issue:True;quality_issue:True,36
age_range:(30-40];period:2023-H2;quality_issue:True;service_issue:True,36
city:Greenfield;quality_issue:True,36
age_range:(40-50];period:2023-H1;product_code:B,36
age_range:(50-60];product_code:D,36
city:Lakeside;period:2023-H1;quality_issue:True,36
delivery_issue:True;description_issue:True;product_code:C,36
age_range:(30-40];description_issue:True;product_code:H,36
description_issue:True;period:2023-H2;product_code:D,36
age_range:(40-50];delivery_issue:True;product_code:E,36
age_range:(30-40];city:Greenfield;period:2023-H2,36
period:2023-H1;product_code:A;quality_issue:True,36
city:Hilltop;description_issue:True;period:2023-H2,36
age_range:(40-50];price_issue:True;product_code:F,36
age_range:(40-50];city:Mountainview;period:2023-H2,36
city:Rivertown;product_code:F,36
price_issue:True;product_code:D;quality_issue:True,36
period:2021-H2;product_code:D,36
age_range:(30-40];price_issue:True;product_code:E,36
age_range:(20-30];price_issue:True;product_code:C,35
delivery_issue:True;price_issue:True;product_code:G,35
description_issue:True;period:2023-H1;product_code:A,35
city:Lakeside;period:2021-H2;product_code:C;service_issue:True,35
period:2023-H2;product_code:F;service_issue:True,35
age_range:(40-50];city:Lakeside;service_issue:True,35
description_issue:True;period:2023-H2;product_code:C,35
city:Springfield;delivery_issue:True;product_code:G,35
period:2022-H2;service_issue:True,35
city:Greenfield;service_issue:True,35
city:Greenfield;description_issue:True,35
age_range:(50-60];period:2023-H2;service_issue:True,35
age_range:(20-30];period:2022-H1,35
description_issue:True;period:2023-H1;product_code:E,34
city:Hilltown;period:2023-H1,34
city:Hilltop;product_code:C,34
city:Brookside;product_code:F,34
age_range:(40-50];city:Hilltop;product_code:D,34
age_range:(40-50];period:2022-H2;quality_issue:True,34
city:Riverside;period:2023-H1;product_code:A,34
price_issue:True;product_code:F;quality_issue:True,34
period:2021-H2;product_code:B,34
age_range:(40-50];description_issue:True;product_code:E,34
product_code:H;quality_issue:True;service_issue:True,34
age_range:(40-50];description_issue:True;quality_issue:True,34
age_range:(20-30];city:Springfield;product_code:A,34
age_range:(20-30];product_code:E;service_issue:True,34
city:Mountainview;quality_issue:True,34
city:Springfield;period:2020-H2,33
age_range:(20-30];delivery_issue:True;product_code:B,33
age_range:(20-30];period:2023-H2;product_code:G,33
age_range:(40-50];price_issue:True;service_issue:True,33
age_range:(30-40];city:Hilltop;product_code:D,33
city:Hilltop;price_issue:True;product_code:D,33
city:Rivertown;description_issue:True,33
age_range:(50-60];delivery_issue:True;period:2023-H1,33
age_range:(40-50];delivery_issue:True;period:2023-H1;product_code:C,33
age_range:(30-40];period:2023-H1;price_issue:True;quality_issue:True,33
delivery_issue:True;period:2023-H1;product_code:D,33
age_range:(20-30];period:2023-H1;product_code:B;quality_issue:True,33
age_range:(40-50];period:2023-H2;product_code:E,33
city:Springfield;description_issue:True,33
period:2020-H2;product_code:E;service_issue:True,33
age_range:(30-40];delivery_issue:True;period:2023-H2;product_code:H,33
period:2023-H2;price_issue:True;product_code:E,33
age_range:(20-30];city:Lakeside;period:2023-H1,33
city:Mountainview;service_issue:True,33
age_range:(30-40];period:2023-H1;price_issue:True;product_code:A,33
city:Rivertown;period:2023-H1;product_code:A,33
age_range:(40-50];city:Meadowville,33
period:2022-H2;product_code:F,33
city:Lakeside;delivery_issue:True;period:2023-H1,33
city:Springfield;delivery_issue:True;quality_issue:True,33
age_range:(30-40];period:2023-H2;price_issue:True;service_issue:True,32
age_range:(30-40];city:Lakeside;period:2023-H1,32
age_range:(20-30];city:Rivertown;period:2023-H2,32
age_range:(30-40];description_issue:True;product_code:A,32
delivery_issue:True;description_issue:True;period:2023-H1;product_code:C,32
age_range:(40-50];product_code:H;service_issue:True,32
city:Greenfield;price_issue:True,32
description_issue:True;product_code:E;service_issue:True,32
city:Springfield;delivery_issue:True;service_issue:True,32
city:Springfield;delivery_issue:True;product_code:A,32
age_range:(30-40];period:2023-H1;price_issue:True;product_code:C,32
age_range:(40-50];period:2023-H1;product_code:D,32
age_range:(20-30];city:Springfield;period:2023-H2,32
age_range:(40-50];description_issue:True;price_issue:True,32
age_range:(20-30];city:Rivertown;quality_issue:True,32
city:Lakeside;price_issue:True;product_code:A,32
city:Forestville;price_issue:True,32
age_range:(30-40];delivery_issue:True;product_code:F,32
age_range:(20-30];delivery_issue:True;product_code:F,32
age_range:(20-30];description_issue:True;service_issue:True,32
age_range:(20-30];period:2023-H2;product_code:A,32
age_range:(20-30];city:Riverside;period:2023-H1,31
period:2023-H2;price_issue:True;product_code:C,31
age_range:(20-30];price_issue:True;service_issue:True,31
age_range:(40-50];description_issue:True;period:2023-H1;product_code:C,31
age_range:(30-40];city:Forestville;service_issue:True,31
city:Seaside;description_issue:True,31
age_range:(30-40];period:2021-H2;product_code:A,31
delivery_issue:True;description_issue:True;product_code:D,31
age_range:(20-30];period:2021-H1,31
period:2023-H1;product_code:E;quality_issue:True,31
age_range:(40-50];price_issue:True;product_code:G,31
age_range:(30-40];period:2023-H2;price_issue:True;product_code:A,31
price_issue:True;product_code:E;quality_issue:True,31
period:2021-H2;product_code:A,31
age_range:(40-50];city:Rivertown;product_code:B,31
age_range:(20-30];delivery_issue:True;product_code:G,31
city:Valleyview;description_issue:True,31
age_range:(30-40];period:2023-H2;product_code:E;quality_issue:True,31
age_range:(20-30];city:Springfield;product_code:C,31
age_range:(30-40];city:Springfield;period:2023-H1,31
age_range:(30-40];city:Lakeside;delivery_issue:True;period:2023-H2,31
city:Rivertown;period:2023-H1;service_issue:True,31
